用户名,性别,评分,城市,评论,用户等级
掬涵,2.0,5.0,天门,眼睛都没眨一下，还是漏了一些细节，打算再看一,2
Guvey.,1.0,5.0,江门,"一个字：绝
两个字：爱了",2
喜,1.0,3.0,长春,剧情还行，演员表演都很到位这个电影是不是跟一部印度电影该编的，总的来说还算不错，希望国产电影能有更多好的编剧！,4
派大星,,4.5,范县,"这部电影的结局令我非常满意。
如果李维杰落网了，会引起人们心中的愤懑不平。
如果没有落网，会带来一定的负面影响。
男主为了保护家人欺骗了所有人，这是一个丈夫，一个爸爸的责任。
他最后又去自首了，这是一个公民，一个有良知的人的应该做的。",1
孤人席,2.0,5.0,金昌,最恐怖的是妹妹，电影还是不错的，全程无尿点,2
洋芋土豆苕粉,1.0,5.0,长沙,完美，情节反转,2
哈哈哈96000,,5.0,广州,好看，非常好看,3
HOHo凉白开,2.0,4.5,湘潭,节奏紧凑，能引人深入，伏笔简单且自然，让人观影时有参与感，总的来说受众群体年龄层次跨度大，观感愉悦,3
cGp227487094,,3.0,百色,剧情不够颠荡起伏，感觉一般般。,1
包舒明-67162,,5.0,苏州,哎呀妈呀，电影太好看了，没想到肖央从唱歌转战演电影这么成功，厉害，演技派，角色诠释的很到位，很喜欢；,1
张🌸芳,,4.0,长春,剧情还挺吸引人，主要是主演们的演技真心不错！尤其是谭卓陈冲肖央！,2
蓝宝狮,,5.0,北京,超级棒，是我喜欢看的类型。最后我感动的要哭了，我是一个冷血不爱哭的人。,3
hicoco,2.0,5.0,郑州,悬疑又充满正义感的片子，想不到肖央现在演技那么好。老戏骨们就不用说了。非常值得一看。,3
HNz269132307,,5.0,苏州,演的好，非常好看,2
fy1104402336,2.0,5.0,德清,电影很好看，但是要吐槽下武康橙天服务人员，8.10的电影，看之前去前台拿停车场2元优惠券，前台说要看好电影才给，等我10点看完出来，有个鬼巴巴，都下班了,2
STi889100809,,5.0,北京,好看，结局还有点不太完美,3
啊凡。,,0.5,杭州,烂片。***烂。第一次写书评。真看不下去,2
一高遮百丑,,5.0,深圳,很好看推荐！,4
ghe233894701,,5.0,廊坊,还可以。。。,2
ʚ🐷ྀིɞ,2.0,4.0,南宁,为什么那么多中国人，警察局里的也都说普通话？？？,2
若非年华似锦L,2.0,4.0,昆明,剧情不错，后面的彩蛋不太懂,2
徐然w,1.0,5.0,福州,好棒好棒好棒,4
💋💋💋,2.0,5.0,厦门,也太好看了吧🐂🐂,3
幻之灭,1.0,5.0,耒阳,还不错。。。。。。,2
yang,,3.5,沈阳,没有想象的好，故事情节很普通。,2
脚印👣,,4.5,乐山,很好看，主角演的很好，情节也安排的很好，最后那个笑容很引人深思,2
婉君,,5.0,岳阳,很好看，剧情好,1
杨佳波626,1.0,5.0,重庆,逻辑性强，伏笔多，毫无破绽，最后还首尾呼应，完美的一部电影！国产悬疑我看过的最好的一部！必须10分,2
🔆 🔆 🔆 🔆 🔆,,5.0,齐齐哈尔,体验了人生百太,2
OHL965908798,,5.0,绍兴,演技太赞了，特别喜欢女警的演技太到位了！,3
Greenie,2.0,5.0,佛山,细节严谨，剧情紧凑，节奏控制得很好，又是一部不错的国产片,3
ccC214586523,,0.5,天津,抄袭烂片呵呵,3
玉溪东哥,1.0,4.5,玉溪,不错的片子，纠结的内心,4
优渥生活,,5.0,临沂,有悬疑有温情，既紧张又感人，故事情节紧凑不拖沓，整部影片看下来，剧情流畅抓人眼球，非常好的影片👍,3
^珍💋,2.0,5.0,柳州,太震撼了，女孩爸爸简直太厉害了，一家人串通得太默契了，就连亲朋好友都信以为真，警察太滥用职权，暴力，被民众推翻捣毁那一刻简直大快人心,2
Xjs225983074,,2.0,平凉,自首的情节有问题，小孩子改成绩、撒谎，大女儿看不起他之类，都不可能是他要自首的原因，你进了监狱，孩子喝西北风啊？费心设计这么一场就因为那个禽兽的妈几句话，去自首，纯粹是扯蛋。,3
OXe322253555,,4.0,宁波,剧情还是不错的,2
Tina,2.0,2.5,杭州,煽情太刻意了,1
pene,1.0,4.0,邯郸,中国特色电影,2
夏雨,,5.0,东阳,还是可以的。,1
芳芳,2.0,4.5,绵竹,看完后我一直在想，他是怎么处理尸体的？,3
英皇辛政,1.0,4.0,北京,牛～细思极恐,4
WZJ284163817,,5.0,株洲,很不错电影，值得一看,3
上官绯绯,2.0,4.5,无锡,除了头和尾有点疑问外其他部分很紧凑很好看，无关人士都说李维杰无罪，但是认识的颂叔的反应有点耐人寻味，应该是伤心居多吧。,2
捱,,5.0,长沙,最后的自首还是国产片里的败笔,2
🎬郭鹏飞-CastroL,1.0,0.5,哈尔滨,一般 评分这么高不值,2
deegi123,1.0,5.0,呼和浩特,感觉很意外想象不到一切,2
hawo18,1.0,5.0,深圳,不满分怎么行,4
魏葳,1.0,5.0,兰州,这是一个伟大、善良的父亲！,3
姜劲柏,1.0,4.5,南昌,挺好看的，就是感觉主角太牛掰了，感觉在拍电影,1
sloweridas,2.0,4.5,襄阳,不错不错不错,3
Zzzz,,4.5,运城,电影开场之前，因为一件小事吵架，两人不欢而散。下次再一个人去看吧,2
Qnk256226491,,4.0,江阴,肖央演技可以,1
饺子味韭菜,,5.0,璧山,喜欢喜欢，其实那个被杀的男主角的颜也很nice,3
海豚890海豚,,3.5,重庆,算得上我最近看的最好看的片子了，成人主演演技真的是很赞，特别是陈冲。小女主演技不尬但是确实还是需要一些身材管理了，在荧屏上看起来太占比例了。关于结局，真的算得上符合国情下的最好结局了。说下不足吧，相比原片我更喜欢它，因为很惊喜。希望我们也能有原创的好片出现。,1
秋蝉无声,1.0,5.0,宜宾,非常精彩，逻辑推理清晰,3
猫颜551,,5.0,焦作,剧情跟嫌疑人x的献身很像啊！不过很好看，很赞,2
Co、天,1.0,5.0,义乌,很好看，陈冲那个表情也吓到我了😂😂,4
亦清,2.0,5.0,固始县,节奏感强，就是有点儿吓人，看完有点儿怕……,4
TJ,1.0,4.5,广州,不错，剧情紧凑，很多小细节，但是看完让人有点难受，心里好像有块石头放不下，电影的末尾有点模糊，没有直接告诉我们什么？而是把问题丢给了观众。,2
飞翔的鱼丫,1.0,5.0,南通,还是不错的女主很眼熟，肖央也不错~,3
Ambition.,1.0,5.0,郑州,我的妈太震撼了，看完后心情比较复杂,2
孙佳鑫,1.0,5.0,呼和浩特,电影演绎出了小人物的无奈和苦难，表情很真实，故事设置的紧密，演出了小人物的生存道理,2
林俊,1.0,5.0,闽侯县,好看到哭泣！,2
西北狼,1.0,5.0,广元,拍得不错，值得一看！,2
花雨,2.0,5.0,汉中,电影拍的真好，把一个故事以蒙太奇手法呈现出来，有情感，有泪水，有沉重，有亲情，选的演员非常好，演技全程在线，编剧太厉害了。,2
發財霉霉,,5.0,南京,好看，就是少了更加神的转折。,4
走走道丢叻耶,1.0,5.0,大连,剧情引人入胜,3
GBw226197053,,4.0,宜昌,肖央演技不错,3
U_nrestrained,,4.0,平阳,挺好的 比预想的效果好超多,2
jwZ236413797,2.0,4.0,滕州,这个影片还行吧，主要是结局不够精彩，自首是个败笔，估计国产电影的结局都是杀了人要坐牢的，不进不行！,3
bufenli,1.0,5.0,沛县,非常有意义的一部电影 情节紧凑不拖拉,1
real_kareng,,4.5,武汉,非常好看，全程无尿点,3
炜,1.0,5.0,集美,好有意义，，,1
浪心,1.0,5.0,蚌埠,精彩回味无穷,2
hDN929751433,1.0,3.0,义乌,一般，太一般了，对不起这影评分，翻拍版！！！,2
leD296582849,,4.0,南昌,构思很像嫌疑人X的献身。,3
A-Eva 王伊渝,2.0,5.0,汕头,"好看
好看好看",3
颉1999,,5.0,太原,误杀 逻辑思维,2
美乐,2.0,5.0,广州,好看，挺不错😊 😊 小女孩被逼问的时候哭得好啊,2
ruanT-,2.0,5.0,盐城,剧情非常的吸引人,1
郭 乾,1.0,5.0,佛山,挺好的，爸爸的责任。虽是电影，却又是现实。无关乎艺术是生活的升华。,2
旋转木马,1.0,4.0,深圳,奶油蛋糕好好吃啊,3
陈明升559,,4.0,合肥,比较优秀，但不足够惊艳，想看的大反转也没有看到，不过总体不错,3
乐先生,,5.0,银川,启发人们尤其是男士们该如何维护家庭。,2
晓寒,1.0,4.5,义乌,好看，值回票价！演员演技都挺厉害，除了大女儿外！,2
@.,1.0,5.0,广州,电影节很精彩，很感人，每个演员的出色表演吸引观众的兴趣，是一部传播正能量的电影。,2
荆棘5999,1.0,5.0,寿光,非常不错的一部电影,3
聂禹豪🇨🇳,,5.0,伊春,不错不错！！！好片子！,1
大成狗,,5.0,昆明,真的很好看，,2
Fresh1128.,2.0,5.0,邯郸,感动啊 父爱如山,2
忆忆,2.0,5.0,苏州,特别好，值得一看，感觉肖央的电影越来越有质量了,4
一二三,1.0,5.0,武汉,可以，棒极了，肖央真不错👍 ,2
彦蓉,2.0,3.5,十堰,电影不错，值得一看,2
🌑 🌙,2.0,5.0,溧阳,特别棒，非常好。,3
白金良Mad,1.0,5.0,沈阳,牛，帅猛！必须看！,3
一万颗甜甜圈,,5.0,广州,超级好看，推荐,2
CPSS2008,1.0,2.5,南阳,没有预想的好,2
dawn 🍃,2.0,5.0,天津,太太太好看了，超赞，紧张，感动…,1
陈先生你不懂,1.0,5.0,南充,完美，值得推荐！,3
最酷的比比,1.0,4.5,南京,不要去触碰别人的底线 家就是港湾 ！,4
A合兴中心城谢婷13016198846,2.0,4.5,耒阳,"我觉得超好看，很值得，上次买了《半部喜剧》却因为一些事情错过了，今天下了个早班7-12下班，赶上了7-25的电影。很开心，生活总喜欢给人使绊子，这种突如其来的小确幸才能让人满血复活。
电影很值得，演技非常好，最后尸体应该是放在警察局线路下吧，不知道自己猜的对不对。",3
周鹏宇,1.0,5.0,成都,感觉还不错，有教育意义,3
￣ ρ￣,2.0,5.0,乌兰察布,好看太刺激了,2
💙_A丶Vivian.,2.0,5.0,大连,这部电影很有深度！天下父母心❤！虽然我没能成为母亲，没能体会那份母亲的心。但是我会对父母孝顺，尽我所能！人生就是一个轮回，父母育我们小，我们照顾他们老！只是一定要做个奉公守法的好公民！,3
😊,2.0,5.0,邢台,太好看了，剧情连贯跌宕起伏。,3
泠雁,2.0,5.0,成都,很不错，氛围很到位,2
ErI999051546,,4.0,杭州,好看，铺垫有点多，结局不完美！,2
kOl138977038,,5.0,南京,很贴切，艺术源于生活高于生活，为各位演员点赞,4
巨人学校孙老师,,5.0,西安,很好看，推荐大家来看,2
小灰灰,2.0,5.0,北京,心情随着剧情起伏，黑暗，权位 、金钱，人性，父爱、正义，演绎的很透彻真实，看的很过瘾.,2
why,1.0,5.0,亳州,李伟杰太聪明了,2
Lkx506342751,,5.0,广州,剧情看得很投入，就是敲晕就活埋有点残忍,4
郑燕&K247,2.0,5.0,上饶,好看！看过国产片里属挺不错的一部影片,3
优秀zz,2.0,5.0,闽侯县,我的眼泪不值钱，很感动,2
,,4.5,东阳,一部不错的影片。,1
fas797895239,,5.0,福州,棒棒哒很不错,1
酷,2.0,5.0,长春,非常好看  太值得了  肖央演技太棒了,2
cos90°,1.0,5.0,长沙,挺好的，剧情很精彩,1
sNw661817676,,4.0,大连,影片扣人心弦，让人心里惊恐未定，就像自己犯了罪一样，心里始终有一种不安，但又有一种有有冤无处诉的感觉。到结尾实在是让人深思，大家都以为影片不能结束，肯定还有下文的感觉，不过影片的名字是误杀，和结尾有点不相符，至于杀死了素察，不能叫误杀，最多叫防伪过当吧，而把影片的主人公带走，不能算误杀，只能叫误会，警察一家的结果让人解恨，到最后一无所有，罪有应得。影片整体不错，让人深入其境，心里总有一种罪恶之感。让人心神不定，寝食难耐，心里久久不能平静，期待下文！！！,2
刚好遇见你2540,,5.0,珠海,细思极恐的电影,5
春天,1.0,5.0,南昌,拍的很好看，推理的很真实,2
沦灭,1.0,5.0,息县,电影超刺激，太棒了,2
康德蹦热切,,5.0,龙岩,故事情节完美，很好看的一部电影！,3
陈国辉,,5.0,利川,弘扬正义，更要正能量！,4
好客厅.日月鑫,1.0,3.0,贵阳,可能是看了预告，感觉不刺激，但是整个故事设计还不错,1
ZJL🐾,2.0,5.0,杭州,很好看，也很励志，反正很好 ，加油，希望肖央越来越好看❤️ ,4
💗蒋ʚ梦ɞ汐💗,2.0,5.0,重庆,不错！演技高能！很细腻，情感充实！最后的彩蛋意思是最开始的情节是真的？陈冲夫妻肯定是有预谋的我觉得…,3
大真,,5.0,深圳,超NICE～,2
女苏軾,2.0,5.0,忻州,好看！！！太好看了！！我强烈推荐！！,4
天啦噜🍭,2.0,4.5,西安,不错不错 值得推荐,3
HU7220,1.0,4.5,桂林,我老婆说，还行吧，肖央演技不错,4
墨涵,2.0,4.0,商丘,还可以，值得一看,2
appleld0216,2.0,4.5,贵阳,演技到位 剧情紧凑 人物刻画的不错 配乐跟表情也是恨到位的,4
Sunny.Chen,2.0,5.0,上海,除了结尾强行社会主义和谐，值得一看。,4
干物女,2.0,5.0,抚州,我是个没什么本事的人，能做的只有挡在你们前面。💓 ,2
-,1.0,4.5,广州,"在豆瓣打四星⭐  在猫眼这边应该打4.5星⭐ 
暴裂无声＋大佛普拉斯＋我不是药神 我看出来的就只有这三~",2
菲庭瑗,2.0,4.0,九江,挺好看的，还不错,1
德信至诚,1.0,4.5,宜宾,肖央非常棒！好父亲，真男人！,3
一年又一年,,5.0,昆明,"很喜欢看很喜欢
",2
小白12719,1.0,5.0,杭州,非常不错，全程无尿点,1
凉,,4.5,湛江,挺好看的，有一些镜头拍得很好看,3
UGW244318635,,5.0,承德,究极好看，究极剧情带入！牛！,3
珞韹！,2.0,5.0,范县,"非常精彩！！！

超级推荐去看！！！",3
威廉.森~,1.0,5.0,利川,该片的彩蛋很符合社会主义核心价值观,2
好运来,2.0,5.0,东莞,好看，牛逼，rookie哥厉害了,2
漫游,2.0,5.0,武汉,"很精彩 有故事述事情节很严谨 值得推荐
",1
biubiu逆风车,,4.0,北京,《误杀》自首这个结局有点儿魔幻啊，一个父亲自己闺女被一**糟践了，唯一的愧疚应该是没赶得上亲自剁了那**的才合理不是么,3
pwl804352913,2.0,4.5,长春,肖央演技真的要比想象中好很多，故事节奏好，演技都很真实，值得一看。,2
tqb679657528,,5.0,上海,很精彩，正能量,1
梁丽,2.0,5.0,襄阳,很好看，不错的电影,2
hEB354407628,,4.0,广州,"1.虽然结局很不幸，但也许这是最好的结局。
2.最后那餐厅老板那意味深长的笑，为这电影结局添加了一个疑问，让我有种二刷的想法，想再看一遍看请整部电影的细节。
3.电影里的所有细节处理超级棒，稍后的呼应很完美。
另外，一句普通的话用泰语说真的好长，但是泰语真的好卡哇伊！",2
糖糖u,2.0,5.0,合肥,全程，我的心都是揪着的。,3
杭州星浙安消防,1.0,5.0,杭州,非常好看，值得看的一部电影,4
陳,2.0,5.0,昆明,10分，必须10分，很可以，每一个都很棒，小女孩吓到我们了。很好,3
zcw457095147,2.0,5.0,平度,很好看，**犯死的好！,1
陈冠希,,4.5,邹城,奥利给，非常奥利给,3
Xfz683112959,,5.0,成都,"剧透狂人 嘻嘻
尸体在哪里？警察局地底下",4
嗨,2.0,5.0,平果,好好看   第一次觉得犯罪片超好看,2
Echo,,5.0,赣州,好看！满分不怕你骄傲 肖央演技太棒了！警察局长和肖央老婆演技也超级棒。剧情非常耐人寻味，如果仔细想的话，可以发觉结尾很有意思。,2
ଲଇଉକ,2.0,5.0,南宁,嗯！果然聪明的人有饭吃,3
Cxs530297245,,2.5,长春,破案的环节给的太快、太直接了，少了一些神秘感。,3
秋霜别恋。,,5.0,合肥,害，我太难了,2
咿呀琪呦,,5.0,商丘,真的超好看，爱了爱了,2
梁洁,,5.0,达州,非常好，经典的国产电影,1
浅浅小庄,1.0,0.5,三河,真心不想评价，看的犯困,1
Zilla木子,,4.0,银川,结尾戛然而止过瘾,1
C.,1.0,4.5,武汉,好好看 期待第二部,2
對味,2.0,5.0,西安,值得去看啊啊啊,1
ella,,3.0,镇江,额，不太好看,2
不那么遗憾vi,,4.0,武汉,爷爷，奶油面包好好吃哦,3
fkQ283577852,,3.5,长沙,平平那个是什么鬼d(ŐдŐ๑)，小女孩的演技都不她强几万倍，除了这个人的演技败笔，电影都很赞，很好看,3
一闪一闪亮晶晶jj,2.0,5.0,嘉兴,是一部值得二刷的电影，细节很到位，表演的很到位,3
华野房车俱乐部,,0.0,无锡,多买两张，不给退！差评,2
红白,2.0,4.5,广州,有比印度电影惊艳的地方，也有比它不足的地方,2
Ghn491313318,,5.0,赤峰,这真是我看过最精彩的国产电影，肖央颜值炸裂，被唱歌耽误的好演员。剧情细思恐极。推荐大家去看！,2
颯丶,1.0,5.0,北京,剧情翻转再翻转，不到最后一刻永远不知道结果。最后的忏悔与前文呼应，剧中多次埋有伏笔。轻微剧透一点，彩蛋跟片头呼应，非常精彩,2
。,1.0,5.0,齐齐哈尔,"最后小女孩一百分的试卷
完美",2
长草,,4.0,上海,故事很精彩，演员演技很棒。唯一不满意的是结尾，感觉男主去自首的莫名其妙，不是要保护家人吗？最后自首前面所有的一切前功尽弃，最好在庙里见了局长之后就结束就完美了。,2
natural,,4.0,长沙,结局不喜欢，前面都很好,2
葛银银125,2.0,5.0,合肥,好看！每个演员都很优秀,1
vickcj,,5.0,上海,很好看 开放性结局自己猜,2
Christine,,5.0,潍坊,完美！！！12月份看过的最精彩的电影了！,2
王若昀,2.0,4.0,广州,不錯的電影 人生就這樣 很多東西失去了才會知道重要性 ,2
Aurore,2.0,4.5,苏州,故事感很强，代入感很强，接近现实生活，结局有点强行升华主旨的感觉，最后又落入俗套,3
XVy157971383,,5.0,通辽,其实最让我记忆深刻的就是两句话  一个是我的女儿被他侮辱时我没机会去阻止  而我不能因为他去再让我的家人受到伤害  第二句话是 我是个没本事的男人  没能让你们过好日子  我能做的就是挡在家人前面    虽然是悬疑推理片  但双方父母都是在帮自己孩子   ,2
否极泰来,2.0,3.0,三台县,10：30开始，11：30就出来，一个人去看电影，里面居然只有我一个人，太**无聊了。,2
ahfs,1.0,3.5,都江堰,感觉最后强行加了五分钟戏，普及守法公民逻辑。。。。,1
A.桐乡宝鑫汽车销售,1.0,4.5,桐乡,小女孩的演技爆棚,2
芳草萋萋691,,5.0,武汉,电影很好看，很感人！,3
水瓶座,2.0,5.0,射洪,近段时间看到的不错的电影了，值得去电影院看看,2
雨落,2.0,4.5,杭州,还不错，值得一看,3
TINO,,2.5,杭州,听说评分很高就来了，陪我看的朋友前面几乎都在玩手机，但我坚持看完了虽然一直都在自言自语地吐槽，以下仅是本人不专业的分析：剧情一般且有些不合理、中国大陆港台地区的国语口音统一出现在泰国、在比较有年代感的时期前面突然出现现代酒吧的镜头、一堆中国人在泰国当成自己家一样也是比较出戏、某些角色在选角上有点不符合人物基调，陈冲影后的演技没话说，只是角色后半部分有点不讨喜。这电影怎么说呢不要像我那么无聊去细品，只能说图个开心吧，呼声太高导致期望也高。,3
ZOC961173082,,5.0,鄂州,11度青春啊,2
秋雨愁煞东坡石,,2.5,长沙,🙂 当看到结局的时候，我的三观是崩塌的。我李维杰步步为营，层层设计，精心布局一个多小时，就为了认栽自首？抛下那么贤淑的妻子和那么可爱的平平安安去吃牢饭？直接开始就拿着视频去认罪顶包不就行了？（反正后面女儿被侮辱的事，他认罪的时候也说了）。就算广电不过审，我“主翻方”能不能想个更有创意点的结局？哪怕是把“嫌疑犯x的献身（日版）”直接拼在后面也比这么牵强附会的自首认罪要好吧！(根据最后的独白，我只能理解为我李维杰是想换回平平的信任和依赖去自首的)。首尾呼应的彩蛋设计看似很棒，但是认罪本身就很扯淡，这样是为了来个“误杀2.0之李维杰的救赎”？但是还是要说，比翻拍的“嫌疑犯x的献身”要好很多。,3
贺朝夫斯基,1.0,5.0,重庆,"很感人，很精彩。
一个男人，为了自己的爱人，为了自己的女儿，他将会是最强大且最伟大的。",2
Charlene肖懿书,2.0,4.5,泗洪,男主在事发当晚于死者埋处抽烟，很有可能听到了棺材被划的声音，所以在小女儿划桌子时才不耐烦。可是警察打开棺材时，盖上的血渍没有被擦掉，这一点男主这么聪明不应该遗漏呀。。。,2
xJy,1.0,5.0,宁波,好看 就是吓死我了,2
A ꧁婚 车 预 定꧂,,5.0,沭阳,还可以✔...,2
小木造型 | 紫薇,2.0,0.5,长沙,真的恶心 明明买了票一过去还有人坐了还说什么大家都乱坐的 要他们拿票出来对座位一副尖酸的样子 取票机都没有还要排队人工取票 服务真的差 到检票口工作人员还说没座位自己去协调 里面手机也没信号 从没写过差评 再也不会来这家影院了 大家千万不要去,2
仙姑,2.0,5.0,郴州,精彩的一部作品，剧情紧凑流畅！,2
DBY18577192085,1.0,5.0,南宁,确实不错作为国产片，剧情紧凑,3
lovingjiaer,2.0,5.0,泰州,好看到爆，演技超赞,2
枯藤老树昏鸦994,,5.0,鄢陵,这是不错的电影,1
Alone. ,,2.5,余姚,很普通啊被朋友圈所骗了,2
郭长江,1.0,5.0,哈尔滨,推荐看一下！,2
墨%色,2.0,5.0,重庆,误杀，特别压抑，剧情紧凑，看起来很激动，真的很令人深思，其中也讲到了教育孩子，真的，作为父母要学会和孩子沟通，不要让你的冷漠失去孩子的信任。PS中间的完美作案利用空间什么的没看懂，好心人可以解答一下吗😀 ,2
IYd252918764,,5.0,洛阳,我觉得最好看的，没有之一！,2
🌻陈旭,2.0,5.0,济南,特别好看真的,3
于九,2.0,4.5,海口,演技很上线 节奏也很好 只是个人觉得最后自首片段要不是为了过审应该不会这么演 有点多余 但是呢就算做出来自首的片段 也是和前面剧情有点相扣的 比如安安的试卷 最后面的笑给人挺多想象 如果没有最后自首的 我觉得就是十分了,3
EWu768033284,2.0,5.0,昌吉,挺好看的，值得一看,2
三岁,1.0,5.0,清远,好看的啊！！！,4
wq,2.0,5.0,大冶,影片值得一看。在正义极可能受到威胁的时候，一个爸爸坚定地站在了妻女的身前，保护着她们。,2
你还好吗大笨蛋,2.0,5.0,上海,喜欢看这种类型，还有推介的嘛,2
格格巫小姐,2.0,5.0,罗源县,太高能了  这个演员演的好  看的我想弄死他哈哈哈  剧情各种紧张刺激  一个男人为了保护他的家人 和👮‍♂️斗智斗勇  那句台词 我是一个没有什么本事的男人，给不了你们太多，我能做的就是 出了事的时候  挡在你们前面  肖央演技赞 陈冲 谭卓  演技炸裂  太精彩了  今年看的最赞的一部电影,3
甄盼盼是个大美女,,5.0,安康,"太好看了吧也
快去看",2
爱情是罪,,5.0,常州,可以。可以可以,2
龙骑士107,,5.0,上海,很不错的一部电影，大小演员表演到位，直得观看。,2
漓末鸭,,5.0,温岭,有句话这样讲，开头其实就是结局。外国版最后男主是逃出来了，但是翻拍没有。男主知道那个男的也是被闷死的但是还是选择用这种方法去逃，我觉得挺奇怪，既然自首还越狱么。是故意这样赎罪还是就单纯想逃出去,3
印象,2.0,5.0,北京,演绎的平实细腻，故事讲述了平民百姓正义伸张，赞👍,2
开始厌倦,,5.0,海盐,完美的电影，结局在开头就出现了，人性本恶，慈母多败儿,1
🌱W,2.0,5.0,大连,超级好看 太赞了 结局也非常耐人寻味,1
lucky王晗琪,,5.0,青岛,真的很好看哦 心一直崩着,2
unique,,5.0,广州,太太太好看了！！,2
铁牛,1.0,4.0,株洲,后面的自首是画蛇添足而已。,1
YH,1.0,4.5,大连,一部很不错的电影，nice!演技都很好，太爱了！！！,3
姸宝£,2.0,4.0,深圳,挺好看的 棒棒哒,2
特仑苏,,4.0,广州,陪朋友二刷，第一遍感觉不错。情节发展走向相对合理。节奏也很紧凑，但二刷就没啥感觉e。总体推荐(｢･ω･)｢,2
_柠檬不萌。,2.0,5.0,黔南,值得一看，适合和自己的另一半去看,2
吃点东西不容易,,5.0,防城港,好牛掰的一部电影  👍👍👍,3
猫和老鼠,,5.0,武汉,挖土机李敏其实,4
Nkn649935184,,5.0,深圳,一个人去看的电影，看的过程中充满好奇和思考，还不错的电影，安安演技挺不错的，很喜欢😘，值得推荐,2
金鑫缘艺雕工作室,,5.0,十堰,很棒的电影，剧情和人物的刻画都是很好。肖央演技越来越精湛。,3
刘强,1.0,5.0,武汉,"非常好的一步电影，值得一看。
电影里面印象很深的一句话:作为一个男人，我没有什么赚钱的本事，我能做的就是挡在你们前面。(ps:有点没搞懂结局，后来一想确实只能是这个结局)",2
系魔鬼,2.0,5.0,湛江,超好看 有笑点也感人,2
.,,0.5,晋江市,不好看吓死我了,2
沧海一粟,1.0,5.0,宿州,不错，男人的担当,1
ゞAagelia形象定制ぢ,2.0,5.0,贵阳,真的很好看 ,2
明爺,1.0,4.5,北京,根据印度电影误杀瞒天下改编的虽说故事一样但是最后的结局不一样出于良心上和被误杀的父母自首了最后的这个结局挺好,4
北风吹白舟ღ,1.0,4.0,三亚,还行吧应该在刺激一些,2
兔八哥5226,,5.0,平顶山,非常精彩，值得一看,2
果子狸,1.0,5.0,德阳,很精彩的一部电影.演员的演技都在线剧本也很牛逼完全可以2刷。,2
czwj9zxld9d,,5.0,常州,电影拍的是不错，肖扬演得是不错，影院环境肯定赞,3
vUT911241008,2.0,4.5,义乌,羊是种群居动物，视力极差，当它们单独行动时，很容易被肉食动物捕食。🐑只要能好好吃草，才不管是谁在薅羊毛。通篇以🐑作喻，也太厉害了,2
新手上路878,2.0,5.0,昆山,看过最好看的电影,3
FjG665104870,,5.0,常州,还不错，毕竟是翻牌吗？,2
InJ859621278,,4.5,顺德,赞！！！！！,2
小李小李  快乐无比,2.0,5.0,锦州,不喜欢结局[捂脸][捂脸][捂脸],2
Kqg750381494,1.0,5.0,南通,很不错的电影,4
Linzy-,,5.0,珠海,差强人意呵呵,3
JKm745783145,,3.5,武汉,挺好的 挺感动,1
Young洋,1.0,5.0,新郑,非常好看 肖央演技真的没得说,2
lTI369935126,1.0,5.0,西安,叩人心弦！！！,3
阿坤,1.0,4.5,汉中,演的挺棒，最后的结果让我匪夷所思了半天，最后觉得尸体应该是埋在了警察局，因为警察局出现的次数最多，主演的表情太贱了。哈哈，支持国产,2
牛哞哞,2.0,5.0,曲阜,剧情完美，演员完美，演技完美，强推👍 ,2
Curtain（落幕）,1.0,5.0,广州,有点压抑，想哭,2
juanxixue321,,5.0,无锡,好看，低层和权利高层的搏斗,2
小,1.0,5.0,哈尔滨,剧情起伏跌宕，入情入理，对于家庭教育有很大的借鉴意义！,2
陈龙,1.0,0.5,长沙,真的有点看不下去,3
小丑八怪,,5.0,东莞,好看，不错，满意,2
林,2.0,5.0,泰州,完美误杀！很有教育意义,1
shy,2.0,5.0,福州,十分好！故事好，情节处理得紧凑，让人紧张，发人深省。肖央演绎了一个关键时刻张开双翼庇护妻女的好父亲：“我这个人不怎么样，唯一能做的是出事的时候挡在你们前面……”谁听到这句话不泪奔？！其他演员的演技也都好，特别是陈冲，把警察局长的专业和威严、母亲的慈爱、寻子的狂躁、失子的断肠和无助表现得淋漓尽致！为老戏骨鼓掌👏 ,2
Y。,2.0,4.0,温州,用蒙太奇剪辑手法去拼接整个犯罪的过程。挺开脑洞的！,2
提醒我十二点必须睡觉,2.0,5.0,惠东,强推！！！！！,2
ata722131876,,4.5,武汉,好看！！！！！,3
白衣卿相,1.0,4.0,成都,故事逻辑清晰，演员演技在线，总体来说还是相当不错的,2
椰子a,,5.0,晋江市,直接满星不多说,1
cola,1.0,4.0,栾城,有很多地方可以说是看不懂，到最后才恍然大悟，原来是这样！,2
Luizy08,2.0,4.0,南京,还不错！～～,2
微笑 🧸,2.0,5.0,白山,越来越喜欢男主角！最小的女儿演的真好,2
bNY365907178,,0.5,中山,为什么要抄袭印度电影,3
夜色正好，晚风轻扬คิดถึง,1.0,4.0,高密,结尾太中国化正能量,2
🌞,2.0,5.0,丹东,好看，有悬念,3
亿万十分,1.0,4.0,崇州,结局太仓促，太反转。不合逻辑,2
🍁,2.0,5.0,武汉,特别好看   但听说印度也有一个版本的吗。,1
