用户名,性别,评分,城市,评论,用户等级
尉尉尉尉喊谁呢,2.0,4.5,青岛,从剧情到剪辑、运镜整体很棒。但是不影响评陈思诚渣,2
lucky,2.0,5.0,海口,好看，值得一看，演技炸裂啊,2
古城 ˇ仟城墨白,1.0,3.5,哈尔滨,整体来说还是不错的，但是结尾承认之处却将电影的整体规划带入了一般的节奏，感觉结尾有点草率。,2
6年后爱的续签,,5.0,广州,非常好看点赞,2
征、,1.0,0.5,北京,我电影票都没使用 ***叫我写影评,2
wyx.9,,4.5,锡林郭勒,很好看剧情很棒,2
Lonely-15736727321,1.0,5.0,郑州,国产电影的佼佼者,2
小金宝baby,2.0,5.0,沈阳,超级爱看~~很有推理性和逻辑性，值得一看，超级喜欢肖央的演技~推荐,1
bér～lōu～,1.0,4.5,哈尔滨,不错的电影 内容很精彩 值得去看一看 一个父亲为了家人所做的牺牲是值得的 同样 也看出一个母亲为自己的孩子做出巨大贡献,4
xuexue969482,2.0,4.5,彭州,还可以，不过以前看过一部美片，一模一样的剧情。,2
C,,5.0,三亚,"还不错，剧情也感人
",2
粉蒸年糕,1.0,3.5,武汉,还好吧，套路化，强行感动,2
-出格,1.0,5.0,常州,太特码得劲了,2
小台儿,,4.0,襄阳,看的还不错。,2
是花蕊啊,,5.0,兰州,演技在线情节紧凑，强推！就是胆小的女生慎看，很多细思极恐的细节让人不寒而栗,3
嘿😋嘿,1.0,4.0,廉江,中国版的，缺少创意。观众应该是没看过某国原创的。才会给出这部九分以上的高分。中国电影也要学下某国，给点自己的创意剧情。,4
YY猪的小天堂,,5.0,成都,二刷爱了！！！肖大大棒,4
捌月飛灀,1.0,5.0,六安,完美，值得看的好电影,3
向阳,1.0,4.0,济宁,还可以 剧情简单  整体在泰国🇹🇭 拍摄  ,3
起风了,2.0,5.0,广州,很感动，看哭了，情节很好，感觉看不过瘾还很想看,2
璀璨的星海,1.0,4.5,深圳,真的很棒，情节也很紧凑,5
wEV672472084,,5.0,涿州,老戏骨👍👍,3
vHU847415464,,5.0,东阳,被肖老师的演技震惊,2
蔚蔚0915,2.0,4.5,海口,肖央演技不错！陈冲最佳女配！,3
aZs400901703,,4.5,成都,很好看，需要仔细观影,3
Xdi610152895,,5.0,沈阳,说实话，有的地方没看懂，挺烧脑的，而且剧情给人一种紧张感，演员演技也非常好，小女孩很可爱,1
吴,1.0,5.0,集美,很好看，有些细节拍得很到位。就是高智商的犯罪。我很喜欢这部电影。,1
王小哏,,4.5,长春,非常好，超出我的想像，最开始我以为只是仿照嫌疑人X的献身，后来发现误杀里面的情感很到位。,3
gzf,2.0,5.0,蚌埠,肖央演技爆棚。尤其下巴贼出戏仔细看。,3
张爱晞一直播ID:370600625,2.0,5.0,磐石,保护你是我唯一能做的,3
小马哥,1.0,5.0,嘉兴,2019年最好的一部电影！应该排第一名！,2
伴你挥霍一生i,2.0,4.0,福州,听不错的，就是结局不大好,2
花呗只为看电影,,4.5,内江,"要说今年看过最好的国外悬疑片就是《利刃出鞘》，而这部《误杀》则是我今年看过的最好的华语悬疑片。
刺激，紧张已经不能够形容，剧情环环相扣，致敬了许多悬疑推理片，每一次剧情达到高潮时，镜头和配乐完美结合，紧张感大幅提升，甚至镜头外的观众也会倒吸口冷气。
陈冲饰演的警察局长真的是一大亮点，每次给人带来的压迫感，远远超过一众好莱坞反派。",3
RoyGao,1.0,5.0,佛山,确实不错，剧情铺排流畅自然，演技在线，值得推荐！,2
忧伤半夏696,1.0,5.0,攀枝花,还可以，不错,3
xiapian,,5.0,苏州,拍的很好，演员演技在线。肖央演技派。,3
桃子,2.0,2.5,贺兰县,一般般，没有宣传的那么好,2
一个比较好的人,1.0,4.0,东莞,很不错的翻拍，演员演技都在线，值回票价。,2
你是谁的白衣少年,2.0,4.5,哈尔滨,想给打十分，又怕不被采纳，加上最后的结局老板的笑容和爸爸的表情我没太懂，所以就9分吧。很好看，最后那个素察死的方式让我觉得很难受。一开始认为他被平平打死的时候，我一点也不觉得怎么样，我还说呢，咋就这样死了，便宜他了。结果最后看到棺材板上的痕迹时，我很难受了。其他都挺好的，肖央这个父亲的角色塑造得很好，让我对他有了很大改观，反正我是看哭了。继续加油,1
🐠淡然🐠,1.0,5.0,西双版纳,很好看！我想两遍看。大家赶紧来看,2
lRq626299610,,5.0,三亚,不错的片子 值得一看,3
soy659858195,,5.0,太原,不错👍👍👍👍👍,4
45°扬起微笑,2.0,5.0,杭州,很棒的一部电影,2
渊渊,1.0,5.0,平湖,好看，完美犯罪，,2
黄漫绵,2.0,5.0,厦门,nice陈冲演技太腻害了,3
丁赛丁,1.0,5.0,金华,有爱，孩子的教育真是大问题,3
李建斌475,1.0,5.0,南昌,没想到啊，完美,3
小树大树,,5.0,南京,好看，非常好看，就是不明白颂恩最后那一笑是什么意思,1
UCj234949326,,5.0,宜昌,演员演技在线，剧情也很好，推荐,3
Lemon,2.0,5.0,射洪,还行😎😎😎😎,2
🌺 妞宝 🌺,2.0,4.0,天津,巧的事我刚看完印度版的，电影稍有改动，最后还借鉴了杨贵妃的桥段，觉得还是印度版的好看,2
iKm912126950,,5.0,眉山,年轻演员演技堪忧，其他的满分,2
XfO888981974,2.0,5.0,银川,全员演技都在线，炒鸡棒,2
dean871129,,5.0,昆明,有点意思，悬疑的类似东野吾浩系列,3
撑死的猫,,5.0,厦门,很好看。。。,1
5422654,1.0,4.0,新化,就是结局改的蠢，不过也没办法不这么改国内也上映不了吧。共产党万岁,3
刘富强,1.0,5.0,包头,挺好看，值得深思,2
Mar2018,1.0,5.0,湛江,一部让我起两次鸡皮疙瘩，一次流泪电影,3
思婕,2.0,4.0,北京,父亲的表现挺让人感动的,2
🤞🏻,2.0,4.5,锦州,父母者，心之所向皆为子女.这个影片很有教育意义，不仅是父母与孩子之间需要沟通的警醒；还是在社会上，即使你身居高位，也会为自己所作所为付出代价！肖央的演技一如既往的好，安安小朋友最后的哭戏真的是很震撼人心！中国的电影已经崛起了！,2
平安😉 张存鑫13539560806,1.0,5.0,珠海,细节方面做的很好，多看电影还是有好处的,1
urr473413146,1.0,5.0,抚顺,挺好！挺好！,1
Wesley,1.0,5.0,江门,好看好看，very good,2
LT年少轻狂LT,1.0,5.0,兰州,很棒，剧情很真实,3
果果,2.0,5.0,重庆,强烈安利这部影片 又悬疑又感人 ,2
MCY866534756,,5.0,广安,嗯好看，电影里也有很多小细节，记得别错过哦,3
小雨,2.0,5.0,长沙,精彩，推理布局缜密,2
王宸,,5.0,北京,超级好看的电影啊   非常推荐！！！！！！,1
小云儿～🍀,2.0,5.0,宜昌,一波推理看的很过瘾，结局的话我也比较能接受，可以的,2
常青,2.0,4.0,石狮,全员演技在线  小演员表现也无可挑剔  好几处感动的地方都在小女儿与父亲的对戏中  剧情反转节奏紧凑让人看了热血沸腾  深感刺激������,2
和尚,2.0,5.0,广州,好看好看好看,2
LUb391727604,,4.0,保定,还行还行挺好的,1
fany,1.0,5.0,运城,不错，值得一看！,2
A W.J15088392391,1.0,5.0,长兴,一般般吧 家长的爱真的很伟大,2
天地·常久,1.0,4.0,太原,本来可以满分的，但是能照顾一下近视眼看电影么？说的泰语，压根看不见字幕,3
家才重要,,5.0,耒阳,蛮好看的，就是有点小贵，,1
桃叽,1.0,5.0,武汉,非常好看 请去看,1
股文观止,,5.0,上海,演得很好，情节真实,2
Alisa 🐬,,5.0,丹东,好看，很完美。,3
可可粉和鸡蛋,,5.0,柳州,太刺激了，最后换尸体简直牛逼,2
叶恒超,1.0,5.0,上饶,很好看，情节步步紧扣,2
PmU463484157,,5.0,南充,剧情，人物都比较真实。好看,1
雨中豪杰,1.0,5.0,中牟,好看，不看会后悔的,1
1Dawn.,1.0,5.0,北京,"剧情反转电影整体不错
",1
Ggo458478486,,5.0,漳州,这部电影剧情很好，特别是结尾，父亲为了给涂改分数的女儿做示范，自己去自首，后来全家都去自首！,1
原始点公益武学忠,1.0,5.0,大庆,好久没看到这么伟大的父亲，应多拍些这样的电影。,2
西红柿很不好吃,,5.0,石家庄,银行门口哈哈哈哈哈哈哈哈,3
锁住时间c&s,1.0,5.0,重庆,结局留下了很多期待。等待第二部宣判！,1
宝藏男孩,1.0,4.5,哈尔滨,不错的电影，喜欢。电影情节紧凑，抓住观众们的神经，连手机都不敢看，怕一低头就漏点了重要的情节。,2
Echo7223,2.0,4.5,西安,好看好看好看,3
假装,2.0,5.0,武汉,演戏全部在线好看,3
lxemurphy,2.0,5.0,芜湖,非常不错，给10分,3
wuli局外人,2.0,4.5,温州,剧情很吸引人，让人深思，不要以为试图用裙带关系解决各自问题，终究会有报应，也不是要觉得家里是官宦身价可以为所欲为，应了老话。不是不报日子未到,2
weihlin,2.0,5.0,桂林,很不错 可是情节还是有漏洞,2
Heli婷,,5.0,东莞,不错😊好评！,1
ClX573797510,,5.0,石家庄,电影情节特别好,3
呆小西内小马,1.0,4.0,泰安,跌宕起伏？……,3
Vfc509355735,1.0,3.5,开封,印度也翻拍过调音师，翻拍的非常成功，误杀这次翻拍的有点不成功，但是对第一次看的人来说还算可以,3
我比你逍遥,,4.5,成都,很有哲理的电影喜欢,2
Mr. 岳,1.0,5.0,吴江,还可以，肖央演的不错,2
Footprint917,2.0,4.0,曲靖,男主角的演技确实很不错 眼神到位 这部电影让我看到的是一个男人有的担当与责任 为保护家人的背后强大力量 也是一个平反局 男主角妻子杀了警察局长的儿子 换做正常剧情情况  这一家必将**** 但聪明的丈夫利用了警察局局长的丈夫的大选形势 保护了自己的家人 ,2
老鳖宝宝,,1.0,上海,"要是没有最后那十分钟
我会给这部电影评个5星
但是电影在中国上影，又不可能没有最后那十分钟
所以我只能给1星
这就是这就是中国电影的未来吧",3
UKO660611950,,5.0,靖江,很好看很好看,2
独宠,1.0,5.0,唐山,剧情安排的很好,1
熊迪豪,1.0,5.0,南昌,爸爸守护一家人的爱意,2
爱乐,2.0,5.0,大连,误杀电影是近期看的最好看的。好评如潮啊。感谢导演编剧演员在19年末为影迷献上这部大片。赞赞赞打10分，已告诉亲戚朋友去电影院看,3
白錵錵,,5.0,天津,很不错的电影，演员都很在线,3
科,1.0,5.0,成都,看完误杀我想多去看看悬疑片了，做好准备一年后去神不知鬼不觉的杀个人😏,2
gwy968168954,,5.0,大庆,年底很难有电影能超过这部误杀真心好，非常喜欢,1
鲁俊柏    范培培,2.0,5.0,六安,很好看。🙃🙃🙃🙃,2
MAGGIE美学-兔絲,2.0,4.5,顺德,好片！画风跟《我不是药神》有点像，情节挺紧凑的。,2
轩妈,2.0,5.0,安阳,真是太好看了,0
住在宇里面,2.0,5.0,南京,演技超赞，陈冲肖央还有“贵妃”的对手戏给高分。剧情算紧凑，,2
wl787359715,2.0,4.0,徐州,整体来说，是个不错的片子，剧情有看头，中间一段很精彩，演员演技全程在线，也比较有深意,4
南蛮子,2.0,5.0,宁海,演技到位！演绎出了各种角色的真实，让我印象深刻的是两位母亲激烈的面部表情,2
BlS944705833,,3.0,金华,把社会当中的腐败赤裸裸的摆在眼前，当你遇见这样的问题，你会选择怎么办？,3
猫紫,1.0,4.5,武汉,虽然是翻拍，演员编剧真的棒棒哒,4
暴风主帅,,5.0,沈阳,剧情紧张刺激,1
💯 💯 💯 小傅老师,,5.0,深圳,这部电影，是晚上12点看的，在电影院丝毫不觉得困，剧情跌宕起伏，仔细梳理，站在不同的角度会有不一样的感受。最开始觉得女警官很可恶，看到最后慢慢的出现了怜悯,3
psh嗯,,5.0,大同,很好看  没了,2
丁丁,,5.0,昆明,特别的好看，满分,3
极寒风慕枫,1.0,5.0,蚌埠,"如果不去看这部电影，那么将会错过如此优秀的肖央，内心戏精彩到位，强推！
电影中的李伟杰在第一层面上，虽然他是一个小学未毕业、生活艰难的网络公司的“老板”，但他热心肠，愿意帮助别人。当他面对坏警察的威胁，也会害怕。在被坏警察威胁时，那个下嘴唇微微抖动的镜头我记得非常深刻。
第二层面上他是一家之主，要扛起整个家庭的生活，大女儿的不理解是他非常难过，但是他仍然深深的爱着他的家人。会克扣自己给家人想要的幸福。
第三层面上他是一个有血有肉的人，他有信仰有恐惧，他懂得利用别人的信任，但是利用完别人他会愧疚，犯下了错误他会反省也会选择去承担责任。
不一样的肖央，优秀的耀眼！",4
巷尾🍄凉,,5.0,上海,很喜欢肖央的演技，希望还有第二部吧,1
毒.poison,2.0,5.0,铁岭,个人表示很喜欢这个电影，一直没时间看，迫不及待 自己在家看的抢先版😍 ,2
粤LWZ790,1.0,5.0,惠东,好评！！！！！,2
奕丽多,2.0,5.0,广州,这是一部社会责任意义兼具的电影，将现实生活凝练为高度浓缩的寓言，更感受到一个父亲对家庭应有的责任与担当，正真的惩罚是从内心开始的吧，只有自己的救赎才能心安理得，愿世间平平安安！,2
OrR298968423,1.0,5.0,南宁,你佛受压迫而已红肉二者,4
Hds529460368,,4.0,西安,剧情可以 总体好评,3
hy12169,,4.0,武汉,剧情紧凑，不拖沓，除了大女儿稍逊一点，其他全员演技在线，包括小女孩！不过收尾有点草率,3
玲子,,5.0,重庆,电影很好看，情节也很紧张，吸引人，就是看电影时，影院设备故障，一会没声音，看得人心,2
3,1.0,4.0,成都,不去自首，就不能在中国放，所以狗改成羊，虽然是翻拍，还是可以给个四星，敬演技精湛的演员们。,2
verano,,4.0,常熟,除了结局有点莫名其妙 整体剧情特别紧凑引人入胜极佳,2
Він Сяолун,1.0,5.0,揭阳,不错 超级棒棒哒,4
Qru🖤,2.0,2.5,北京,评分特别高，于是带着很高的期待去看了，看完真觉得太一般了，所有演员的演技好尬哦，除了陈冲，和餐厅老板两位老戏骨吧，男主演技弱，女主演技弱，男主老婆演的更是尬中之尬，看完真的觉得挺没意思的一电影,4
MbT304338033,,4.5,深圳,不知道是不是后知后觉，我看完之后，突然想起了之前孙红雷主演的全民目击。从时间线和人物特点来看，非常的相似。但不影响几名演员的精彩表演，从个人观点来说，人物的性格和背景音乐很有感染力，这是一部好的作品。电影的内容很丰富。只是整个剧情铺垫稍稍的偏长，中间精彩的部分结束太快，结尾有点强作处理，忽略了真正的人性。离佳作可能还需要一些更好的处理。,3
jFT630629660,,5.0,昆明,演员们都好给力，只是剧情有几个重要的线索被一笔带过，导致结局显得突兀，但是不影响它是我认为今年看过的最诚意良心的电影。,4
,2.0,5.0,大连,电影唯一的不足，就是因为🇨🇳法律的原因，个人认为结局不完美。中国的犯罪电影，结尾都是会服法的，不然不过审，我自动剪切到最后女孩父亲见到男孩父母，到这里就结束了，但导演和编剧的结局总归有他们的道理，我只是哈姆雷特中的一个，更偏向完美的结局。,3
沙漠里的国王,1.0,3.5,重庆,演员不错，表演还可以，导演不行，故事看着不流畅,4
Be  forever,2.0,4.5,东莞,很好看哦  给个9分吧我怕你骄傲,2
十五冬,,5.0,乌鲁木齐,好看。好看。,3
蔚蓝的天空壮哉,,3.5,太原,翻拍印度电影《误杀瞒天记》，翻拍的还可以吧，狗改成了羊，结尾自首我不喜欢。不过我还是喜欢印度原版，真正的原创。,3
ZKJ877514129,1.0,4.5,珠海,好看！女朋友也说好看！,2
听闻过刘大帅,,5.0,临沂,我觉得拍的听不错的了，最后的结局我猜李维杰也死了，同样被闷死的，因为李伟杰在棺材里划火柴的时候看到旁边的人就是自己安排来就自己的人（自己之前的员工）。因为他死了，所以就没人知道李维杰用这个方法越狱，至于他的计划，应该是被那个女警察局长和他老公知道了，所以将计就计，用同样的方法来报复李维杰,2
莫沫5750,2.0,5.0,佛山,很好看 非常喜欢,3
name曙光,,5.0,武汉,电影确实不错👍,3
墨痕,,4.0,长沙,细节描写的很清楚，结局也很有正能量,2
Mina欧尼,2.0,5.0,咸阳,挺好看的，推荐,2
🌴AmGG*,,5.0,西安,"对事不对人。
前半部分看到局长那么对待维杰一家真的很气愤，觉得这个女的怎么可以这么坏，明明是她的儿子先犯的错，维杰家才是受害者，而且平平和母亲也是出于自我防卫下才误杀了素察。可是换个角度，局长也是位母亲，自己的孩子无论犯了什么错，也始终都是自己最心疼最要保护的孩子啊，也能理解双方的感受了。后面让我感触很深的是维杰自首，戴着手铐坐在警车上对平平说的那些话，我和父亲话就很少，都不善于表达的那种，但是我很爱他。
电影挺棒的！演员们的演技也都很厉害👍🏻",2
三创一办,,5.0,贵阳,所有演员演技超好，太赞。,2
～润玉,,5.0,涪陵,很深，一两遍看不懂,3
流念凡尘,,5.0,金坛,挺好看的，情节好,2
lijun7901,,3.0,合肥,抄袭抄袭抄袭,2
fyV892178499,,4.0,新郑,很好啊，剧情挺吸引人的，结局也如观众所愿,2
JCTa,1.0,3.0,杭州,不如原版。结局太广电。,3
HRO596932320,1.0,2.0,海口,不是我故意说电影不好，前面都挺好，最后结局。。。。不知道导演是怕过不了电总局，还是啥居然去自首。。。完全属于科幻片。。神经编剧，给个4分都感觉,1
文艺887,2.0,5.0,重庆,超级好看的电影,4
_  大叔  、,1.0,5.0,武陟,先看的叶问四，再看的误杀，讲真的，叶问系列是因为情怀的原因票房也不差，口碑也不差，当然.叶问四也很好看...但误杀还是更好看一点...极力推荐.合适的剧本，合适的演员，合适的演技，合适的改编.肖央迟早会拿属于自己的影帝.,1
gJS97559330,2.0,4.5,海安,陈冲的眼神真的绝了……在餐馆那段让我寒毛直竖……,2
木鬼刺青,1.0,5.0,上海,剧情完整、严谨,3
Eddie,2.0,5.0,廉江,这部电影非常好看，很厉害，肖央的演技太棒了。,2
Zspjjh,2.0,4.0,重庆,不合常理....,1
久别重逢,2.0,0.5,郑州,不好看不好看,1
爱美的王逗逗,,5.0,西宁,故事内容看着很揪心，演员演的真棒,2
bxNq7970,,5.0,上海,perfect,1
更更更生,,5.0,三明,2019年巅峰之作,2
cFu430680829,2.0,4.5,乌鲁木齐,强制写评论不是好习惯,2
f.3184,1.0,5.0,广元,剧情是真不错，挺紧凑的，感觉途中不能上厕所，不然回来就错过分析了,1
eae491456573,,5.0,成都,还可以，，，,3
娜子,2.0,5.0,南安,喜欢悬疑片最大的原因可能就是他能让你回味很久。误杀，值得二刷三刷！细节真的，当你回来复盘时，毛骨悚然。,2
A 孔祥景℡¹⁵⁷⁵²⁶⁷⁴⁸¹⁴,1.0,5.0,昆明,如果我没猜错的话 藏尸地点应该是在塔顶,2
TANG丶KE,,4.5,南充,挺好看的，笑点和泪点都俱全，不负一看,2
tdT905826209,,5.0,泉州,非常好看 满意,2
哈里668,1.0,4.0,琼海,不错还可以看看,1
╰张菇凉﹋,2.0,5.0,南宁,经典！！！好看！！！,2
软刺RC,2.0,5.0,西安,剧情很好 代入感也很强 超爱这种题材的电影 满分！,2
eZn332112242,,5.0,贵阳,非常不错，值得一看，。,2
厚脸皮81,,5.0,珠海,好看好看好看,2
xsG513377791,,5.0,东莞,好看(｡･ω･｡)ﾉ♡,2
zLY492440347,,5.0,张家界,特别好看，演技炸裂，强烈推荐看完之后还看了男主角推荐的蒙太奇。,2
kEl858022422,,5.0,长沙,不错，情节紧凑非常吸引人！,3
