用户名,用户主页,推荐星级,评论时间,短评信息,投票次数,城市,用户签名
有心打扰,https://www.douban.com/people/kejinlong/,推荐,2019-12-06 20:42:16,用电影《蒙太奇》的手法演绎出另一款《嫌疑人X的献身》。节奏不错，还挺好看，哪怕是国产片中最令人害怕的慢镜头在本片中都运用得不错。,628,福建泉州,好想爱这个世界啊！
晚不安,https://www.douban.com/people/yellowmoonbird/,较差,2019-12-05 23:03:57,第一个想到看电影学破案的是天才，第二个是庸才，这种级别的翻拍只能是蠢才了。导演好像刚学完升格镜头似的，从头到尾照死里用。又土又蠢，还不如那期瞎看精彩。看过一千部电影，还是觉得这个世界很离奇，比如这样没有创造力的东西为什么还会被拍出来。陈冲的人设在公私两个层面很割裂，有一个长镜头克制情绪而不能的表演不错，其他炸裂式演技都太过火，但她是这部电影里唯一的看点（原来许文姗是她女儿…）。雨中那场戏的造型感下了一定功夫，但就是一个招数来回用。——头脑不够聪明，心肠又不够狠毒，所以无聊透顶。最后，年观影八百部，打印年度观影记录，念剧情简介，豆瓣鹅真实地笑了。,485,北京,君子固穷
冰镇西瓜橘子水,https://www.douban.com/people/65400706/,推荐,2019-12-13 20:23:52,陈冲质问小女孩那段给我看出心理阴影来了,420,江苏南通,活在裆下
Janie,https://www.douban.com/people/55300712/,还行,2019-12-09 22:14:50,個人覺得到懺悔塔那裡結束就差不多了，後面強行升華的結局毀了所有,177,广东深圳,以中有足樂者
把噗,https://www.douban.com/people/babulliu/,推荐,2019-12-10 22:01:25,不错。拍得挺精致，屁民通过电影的知识赢得了胜利，既是现实也是隐喻：观影成为我们这个时代最重要的自我教育手段。说点有趣的，这部电影是不是证明了观影量的重要性，并且在不远的将来，豆瓣有望成为破案数据库？,369,北京,Festina Lente
天边最美的云彩,https://www.douban.com/people/135145248/,还行,2019-12-09 15:36:51,赌的风险太大了，1 要路人们都记忆模糊，2 要监控器清除数据确定无法恢复，3 要连小女儿都准确表达，能成功也说明警察是真心无能。但好在这么多的bug都不影响观影体验，比起肖央电影中展示出的蒙太奇手法，显然电影本身剪辑就足够惊艳。烧脑推理题材天然就有受众，但国产片陈思诚愿意带着新导演好好拍认真拍还是挺不容易的。,141,北京,无签名
内陆飞鱼,https://www.douban.com/people/veverlee/,推荐,2019-12-12 09:16:00,喂，肥宅，你看那么多电影有用吗？万一有用呢，难说就是一招制敌的杀手锏了。,321,云南昆明,因雨成歌
无机客,https://www.douban.com/people/tensor/,很差,2019-12-07 15:53:52,真是垃圾結局，浪費了一個好劇本。,95,浙江嘉兴,倒计时开始了
不脱袜子同学,https://www.douban.com/people/lelio/,推荐,2019-12-10 22:52:26,真是一部很适合豆瓣影迷的电影，看完之后大胆设想，要是以后警察办案真的要查观影记录了，该咋整呢😂不喜欢首映上蒋方舟的点评，她说觉得平平（陈冲的女儿许文珊饰）长得挺壮的应该能轻松制服素察，此刻的蒋老师仿佛变成了她曾经吐槽过的油腻直男，对年轻女性的身材指手画脚，永远不要从受害者身上找问题。而且，这还是部电影呀！请让电影回归电影，把话语权还给影迷，以后看电影多做笔记，记好知识点！,129,北京,飞向太空，宇宙无限
coconut_milk,https://www.douban.com/people/charleschiu/,很差,2019-12-08 17:04:56,看了828部电影就能完美犯罪 我觉得看了282部电影才能拍出此片 剧情逻辑完全是扯淡一样 真尬,63,广东深圳,岁月无情 苟且偷生
胖官赵,https://www.douban.com/people/122454843/,较差,2019-12-13 12:23:49,一家人完全不像一家人，假的要死，根本融入不到这个故事中。影迷这个梗到底是在羞辱谁？,185,北京,无签名
筱桑,https://www.douban.com/people/68023776/,推荐,2019-12-11 00:01:17,结尾的忏悔自首毁所有。4星全给前面，就当我没看过结局。,155,"Baghdād, Iraq",无签名
朝阳区妻夫木聪,https://www.douban.com/people/Invisible___/,较差,2019-12-11 13:35:22,也就是一篇《故事会》级别的爆款爽文，所有人物心理的转变基本全都靠台词的全盘托出，很难说服人，这样一个翻拍的剧本真的有必要需要六个编剧吗？看的过程中仿佛能够感受到陈思诚一脸自豪地躲在镜头后面油腻的笑：怎么样看我这个设计是不是很牛逼？没想到吧！先是《双瞳》再是《蒙太奇》，看我阅片量大不大！你们看这片，多悬疑啊！,116,北京,靠脸吃饭
影君子,https://www.douban.com/people/49307046/,很差,2019-12-12 15:28:07,1、此片的核心情节是男主利用所谓蒙太奇的手法（就是时间点和事件的错位拼接），给证人造成自己一家人案发时间不在现场的错觉，从而让证人不自觉地作了伪证，帮助男主一家洗脱杀人嫌疑。但这一桥段漏洞百出，根本无法让人信服（警方只听口供，不查物证？从客车售票员、蛋糕店老板娘，到酒店前台、拳场小贩，所有目击证人记忆力都不好？），作为犯罪悬疑片是完全失败的。2、电影把故事背景放在泰国，想以此规避电检，但全片又基本都是华人演员和中文对白，显得不伦不类。3、结尾更是又当又立的典型，男主憎恶坏警察，费尽心机要逃掉牢狱之灾，最后却被几滴鳄鱼泪感动得主动自首，只能叹编导把观众想得太蠢。4、除了陈冲稍好，其他人的表演都很脸谱化，尤其是大女儿和坏警察，实在是尬演。,60,四川成都,无签名
阿卜,https://www.douban.com/people/shiguagji/,力荐,2019-12-08 15:54:02,卧槽！可以说是今年看到最好的华语电影！没有之一！看之前没有关注过这部电影是翻拍，但即便是补档了印度前作《误杀瞒天记》也依然觉得这部更出彩。原作的配乐实在hold不住，并且原作的影片节奏完全不及这部，再剪掉四十分钟都不成问题。尽管依然有些不尽如人意，但《误杀》称得上是“站在巨人肩膀上”。,182,广东广州,Don't panic！
武侠小王子,https://www.douban.com/people/china-undead/,推荐,2019-12-07 10:08:31,"一场因身份差异而引发的误杀，电影在事件背后所展现的阶层对立、正义缺失以及公权私用，或许更让人触目惊心。

公权力左右下的正义举步维艰，其实比起电影案件所引发的戏剧冲突，背后关于正义的声讨更能动人心扉。

尤其在一个混乱之地，公平正义成为了每一个平民穷极一生争取的生存底线。电影中则把对立冲突渲染到了最大化。

电影在肖央陈冲谭卓的共同努力下，《误杀》饱满深情，不失为一部诚意之作。",364,江苏南京,云在青天，水在瓶。
海哈哈,https://www.douban.com/people/68825809/,还行,2019-12-05 22:16:27,查，给我查，查他这一年的观影记录！,68,北京,Never write what i darent sign
陆支羽,https://www.douban.com/people/luzhiyu/,推荐,2019-12-10 22:57:41,1.难得有一部犯罪悬疑片能跟迷影精神命脉相连，这固然离不开原作的品质，但国产改编能够抵达这样的水准已属上乘。2.角色无大小，谭卓真的演活了一个表面细腻隐忍、内心波涛暗涌的女性角色；戏份不多，却闪着弧光，尤其是她跟陈冲飙戏时说出的那句“有的孩子是孩子，有的孩子是禽兽”，完美展现了一位看似懦弱胆小的母亲，是如何在家庭命运的关键时刻出离愤怒、捍卫尊严的。3.陈冲则依然充分施展了她的神演技，而肖央同样经历了一场蜕变。,205,北京,死前看大海，是每个灵魂的夙愿。
法棍老人,https://www.douban.com/people/christan1987/,还行,2019-12-07 00:24:47,正确的观影顺序：《较量》(印度 2013)------《误杀瞒天记》(印度 2015)------《误杀》(中国大陆 2019),78,"Zürich, Switzerland",坂本·德彪西
Charlotte,https://www.douban.com/people/domisodagreen/,力荐,2019-12-05 22:34:46,"-牛逼牛逼牛逼2019个人年度最佳
-肖央自此在我心里与黄渤同等级别
-陈冲每一根汗毛都在演戏
-谭卓去年药神今年误杀奉献最好对手戏
-想要男主860部电影清单
-蒙太奇万岁电影万岁祝大爆",280,北京,A Beautiful Mess
七海,https://www.douban.com/people/144459333/,推荐,2019-12-09 02:59:58,蒙太奇的手法，心迷宫的人性，一千部电影 一千种案件，局外人看世界 非黑即白，拳台下赌命赛 生死时速，镜头设计很有趣，陈冲和谭卓飙戏好爽，瑕不掩瑜 看看会有惊喜的！,233,广东广州,无签名
小然Raner,https://www.douban.com/people/75672989/,较差,2019-12-07 21:27:36,"非常不喜欢的一次翻拍，不伦不类，既然翻拍为什么不能好好的本土化呢？非得一会泰语一会中文，结尾再来个英文，呦呵，真是个国际大都市。

另外一点就是逻辑有着很大的问题，尽管利用蒙太奇的手法，但是这过程处理的太模糊了，多多少少有点搪塞，其次影片很厉害，让你看不出这个故事发生在2019年，这场景，这打光，真是不知道到底是怎么想的。

这个结局也是不能接受，虽然说为了符合社会主义核心价值观，但这样的处理让前边所有的内容全都变成了泡沫，那做这些的意义何在？

最想吐槽的还是，为什么两个中国人生出一个泰国女儿，真是当观众是傻子，二星半。
",110,山东淄博,无签名
陀螺凡达可,https://www.douban.com/people/cabaret/,还行,2019-12-19 23:15:22,快找陈冲去演恐怖片。,53,"Paris, France",慢性死亡
年少成名秃头驴,https://www.douban.com/people/Len./,还行,2019-12-13 21:26:35,拿着个印度剧本韩化，特别有些分镜、画面感，太韩式了。原来是迷影电影，就差没致谢豆瓣了……所以戏外反豆瓣还真挺迷的啊。最后能提前十分钟结束多好……这个结局比加字幕强行正义更糟，都不知道搞的什么。,47,Christmas Islands,无签名
Jupiter,https://www.douban.com/people/131753555/,较差,2019-12-12 01:05:22,"1.按道理可以给三星，但是看到众多恰饭的影评人实在是恶心得不行。
2.片子是不是没有给调色师预算？颜色相当糟糕，看着一度想退场。
3.太刻意，槽点太多，经不起推敲。",84,广东深圳,无签名
富贵,https://www.douban.com/people/130361727/,力荐,2019-12-10 21:24:59,李天一覆灭记，妈的，牛逼。,122,北京,无签名
刘康康,https://www.douban.com/people/46843344/,还行,2019-12-11 15:38:30,中规中矩的翻拍。有几场戏的镜头设计很有想法，比如陈冲警察局里逼问小女孩的段落、雨中掘尸的段落，我倒觉得泰拳和杀人的蒙太奇段落挺常规的。另外需要给大家提个醒，没看过韩国悬疑电影《蒙太奇》的观众请慎重观看本片，莫名其妙被剧透一脸的体验还是有点糟心（虽然韩国那个片子也没多好）。和谐的结局虽然是为了过审，但编剧其实还是用心做了一些设计，像赎罪之塔的前后呼应，努力想把电影主题往人性方向去拔高，但还是会有一种人物转变过于突兀的感觉。其实戴着镣铐未必不能跳舞，如果最后真能往人性救赎方向去合情合理地发展，那么在立意上就高出印度版一大截了，还是可惜了。,37,北京,性不誉人何足怪，交非知己自然狂
木石子,https://www.douban.com/people/146536630/,较差,2019-12-06 14:56:20,看完总觉得哪里有问题，但说不上来，直到看了原版，总算明白了！悬疑推理有bug，结局处理太草率，女孩被性侵太揪心。不过，陈冲的演出太强大了，几乎可以媲美容嬷嬷！,63,北京,一个非专业的电影爱好者！
刘小黛,https://www.douban.com/people/darlingtudai/,推荐,2019-12-08 21:32:21,印度电影改编翻拍，高概念反杀片，题材新锐，故事紧张，伏笔丰富。肖央用眼神演戏，谭卓和陈冲演技突出。背景架空，有很多值得玩味之处。高智商犯罪，推理过程连续烧脑，衬亲情之味。警察制度社会生态方面针砭时弊。结局秦沛采访一幕，饶有余韵。,228,江苏无锡,美酒醇妇庶几完满。
蝠蝠,https://www.douban.com/people/183816493/,还行,2019-12-09 01:24:31,对比原版多了很多看点，比如陈冲那句“给我查他一年的观影记录！”直接把我给逗笑了，但肖央表演的有些过头，结局也是非常具有内地特色，好在陈冲气场足够强，整体节奏不至于太崩。,43,浙江台州,无签名
二十二岛主,https://www.douban.com/people/48369193/,推荐,2019-12-11 11:32:31,非常喜欢原版的故事，只要按照原版的节奏走，新版就不会太差。没想到在这个基础上还有一些延伸的惊喜，对剧本细节的适当删减与补充很恰当，在去掉印度特色的歌舞之后，使得故事的节奏明显更加紧凑。演员选的也很到位，尤其是陈冲的表演气场完全不输于原版的警察局长。除此之外，新版改编的还包括了分别从对立的两方来讲述各自对于自己家庭的一种重构与守护，更加具有人情味。至于结局，也还在可以接受的范围内，毕竟在当下这个环境，可以理解啦。,42,,无签名
行所在,https://www.douban.com/people/roczhen/,较差,2019-12-12 09:20:26,翻拍国外的片子，故事依然发生在国外，这也是中国式奇葩,57,北京,无签名
咱说,https://www.douban.com/people/Uvo/,推荐,2019-12-14 16:29:35,"7分，爽片。所以国产电影规避风险的新思路就是把不宜在国内发生的剧情都设定在海外华人聚居区进行，还可以避免港台演员口音上的尴尬。不过用华人来演非华人的做法，就如同用好莱坞早年的“洗白”，是不正常的，何况结尾还是免不了要符合审查要求。

另外很想吐槽的是，现在一部国产电影的联合出品方越来越多，片头出现长达一两分钟审美很渣配乐各异的各家电影公司logo动画的过程真的非常败兴，各家是专门来比丑的吗？【广百金逸】",34,未知,无签名
Aizl,https://www.douban.com/people/200050810/,很差,2019-12-09 10:11:07,毫无新意的翻拍。剧情直接抄袭印度电影《误杀瞒天记》。大陆版如果内容本身如果发生在国内，肯定不会过审，于是乎，与印度版唯一的区别就是，本国人去到了外国，所以变成了泰国警察。。。。。,45,未知,无签名
0,https://www.douban.com/people/148291533/,还行,2019-12-10 21:11:08,大陆资方请马来西亚华人导演在泰国翻拍了一个印度电影，肖央在其中饰演宋康昊。,45,北京,需要时，给我打电话
麦小白,https://www.douban.com/people/MagicK/,推荐,2019-12-11 22:24:13,你每天饱含热情看完的每一部电影都不会白费！膜拜这样看以致用的大神。只是，用了电影里的方法，却不删除观影记录，这跟把占满指纹的凶器丢在犯罪现场有什么分别？！/在国内院线片中属于比较少上映且上映了也没几部像样的类型，有在普通观众中传播开来的潜质，口碑、宣发节奏带带好，预计票房会小爆。,227,浙江杭州,累了就睡觉，醒了就微笑
水浒三国金刚,https://www.douban.com/people/3322566/,推荐,2019-12-13 14:26:09,李维杰一定是豆瓣阅片量两万部的大神,45,浙江绍兴,2019年目标:330部电影
爆破鬼才斐尼甘,https://www.douban.com/people/73863255/,推荐,2019-12-11 00:02:02,在过审的死框架里算是努力做到最好了。,62,四川成都,无签名
Mr. Infamous,https://www.douban.com/people/misterinfamous/,还行,2019-12-13 21:07:16,几种气场的演员放到一起，很难调和，开头差点被带到《天气预爆》留下的阴影里，幸好后来故事性浮了出来。最后谭卓跟陈冲那个羊与蛇的对视，最有戏味。（貌似谭卓这些年几乎每部电影都要哭。）看了看自己的观影量，感觉还是斗不过审查员陈冲唉，这是最无力的所在。,23,北京,Neverland never lands.
谢谢你们的鱼,https://www.douban.com/people/reave/,还行,2019-12-11 22:34:48,很失望，除了肖央的表演和完成度还行的改编剧本，其余部分都很没意思，甚至把原版最后的爽片氛围给推翻了。第二幕的斗智斗勇之后，整部电影不论是情绪还是戏剧张力都在极速下降，导演除了音效和jump scare再也想不出别的营造氛围的方式，而原创部分，不论是《蒙太奇》的提及还是羊的隐喻都生硬得一批。最可怕的是，我从头到尾都没有觉得主角的家庭是成立的，同理，环境的描写也不让人信服，看着非常别扭。,40,北京,无话可说
江南小野田,https://www.douban.com/people/CrazyAmazing/,较差,2019-12-08 15:58:51,罔顾调查原则&激情办案&shitty end,37,中国香港,Too much heaven
华盛顿樱桃树,https://www.douban.com/people/49213881/,推荐,2019-12-05 21:55:09,万万没想到啊，居然能拍到这样的水准的类型片。虽然是翻拍，但元素之丰富伦理之完整令人不敢相信自己的眼睛。剪辑配乐自信又准确，增强了很足的观赏性。演员以陈冲谭卓对峙那一场戏，年度爆裂瞬间！,233,北京,无签名
我不是盆栽啊,https://www.douban.com/people/baixg/,立荐,2019-12-10 22:14:22,中国过审式改编是对观众审美的一次大型侮辱。,33,"Ulan Bator, Mongolia",closed permanently
法兰西胶片,https://www.douban.com/people/flxjp/,推荐,2019-12-15 09:29:33,三星半。看的午夜场，真爽到了。视听上有粗糙的地方，但它的愉悦感更罕见，首先是它有个地域同化性的预设前提，就从《泰囧》到《唐探》再到这部《误杀》，主角的语言环境与真正的国人是趋同的，主角一家无法参与当地政治，你仍可以把他们的一切意识判断按“领土不可分割的一部分”这个思路走，这样一来，电影老带感了。迷影的元素除了博取电影消费者好感，同时它也暗示着我们整日困扰的审核机制与通过“剪辑智慧”予以反抗的对位关系。简单说，这就是关于表达中国当下的电影，谭卓那句洞穿全片的“谏言”分明就是说给当下的我们听的，这是中国的议题。爽点就在这了。,17,北京,一愉悦就伴随着痛苦。
野蒜,https://www.douban.com/people/syfan/,还行,2019-12-10 19:49:31,"可与《利刃出鞘》组成12月推理套餐，比《小丑》的疯癫结局可信多了，为过审结局果然是一如既往的黑，不然可以给四星。令人深思的应该是为什么这种题材要到泰国拍，为什么结局要这么交代。陈思成这是找到唐探宇宙接班人了。
-查他近一年来的观影记录。-一共八百多部。我发现了案件的漏洞，李维杰是多闲一年能看八百多部电影。全程都在紧张谭卓的角色说漏嘴，电影里有提示最后尸体埋在哪里。",33,北京,及时行乐
