用户名,用户主页,推荐星级,评论时间,短评信息,投票次数,城市,用户签名
Typewriter000,https://www.douban.com/people/deltatrong/,还行,2019-12-16 22:38:58,事实证明中国电影人不但可以翻拍好中国电影，甚至可以翻拍好赛国电影，真是可喜可贺啊！,0,江苏南京,无签名
马里安巴,https://www.douban.com/people/lintao/,推荐,2019-12-13 22:19:29,1、一个马来西亚导演用中国资本和华语演员在泰国翻拍了一部印度电影，居然不显得违和。2、虽然被活埋很残忍，这也是男主自首的重要原因，但是迷奸女生并拍视频威胁的人渣只配得到死亡。,0,北京,Last Year at Marienbad
Locyanve阿落,https://www.douban.com/people/Ashleetiantian/,力荐,2019-12-17 22:14:54,雾草 全员飙戏 过瘾,0,北京,成年人太忙 罢了
巴士底的猫,https://www.douban.com/people/goldene/,还行,2019-12-24 21:57:56,结尾改得烂透了。节奏控制的还可以，主要的都有，次要的做了取舍。解读的更清晰了，但少了些许乐趣。6,0,北京,逝者如斯夫，不舍昼夜！
彩戏师,https://www.douban.com/people/caixishi/,推荐,2019-12-15 18:14:43,电影观影者的优势辩护,0,山西太原,春山啼鸟，秋水照花。
24city,https://www.douban.com/people/movie24city/,还行,2019-12-13 23:22:20,优点是略去了原版那些拖沓的废戏，节奏非常快，整个局布置的更聚焦，人物上父女情的表达更丰满了。缺点自然就是为了审查，不得不改变的结局，以及导演特别害怕观众看不懂而加上的那些比如时间、主角眼神等的“贴心小提醒”，反而削弱了悬疑感，最后还加了些貌似“你懂的”的台词和镜头，韵味全无。,0,北京,新的一天，旧的生活。
薛定谔的文艺猫,https://www.douban.com/people/50238914/,力荐,2019-12-15 18:23:41,改编不错,0,广东深圳,这一刻
素人冯,https://www.douban.com/people/jazzbon/,还行,2019-12-22 17:10:59,看了一小时出来处理了点工作 回去看了个结局。我老婆刚才讲了一下我落掉的二十分钟。摄影不错，故事很一般。为了过审把故事环境放在泰国，还不敢说是泰国，黑警的中文十分6，结局还来个自首，你都把环境架空了还自首。这个锅广电得背。,0,北京,电影收藏夹
Lotte Mars,https://www.douban.com/people/LotteMars/,还行,2019-12-21 22:18:35,看过一千部以上的电影，还是会觉得难及现实的千万分之一 所以这是一部愿者上钩的童话片+审查式结局,0,上海,无签名
令狐小羊,https://www.douban.com/people/56680567/,还行,2019-12-23 01:34:55,这种事如果不是发生在印度，赛国，我们拿那个警察局长怎么办呢？,0,浙江杭州,小桥报有痴人立，泪泼春帘一饼茶
夏道道＝早早,https://www.douban.com/people/48742792/,推荐,2019-12-19 20:28:24,太韩国了，真的太太太太…韩国~从海报风格、影片色调，再到叙事手法，真的好泡菜。当然，除了结局很我国（摊手）。有句讲句，谁能在看的时候不把肖央的脸代入宋饼叔，那真的算你赢~肖央是要贴跨界演技王的标签吗？成功在望了~尤其海报上那个范儿，一脸“劳资有很多演技”，我还特地翻了大图，才敢确定是肖央~😂诡计很东野，虽然结局emmm…陈冲和谭卓俩老虎母亲的对决，一秒切换动物世界！硬派演技咖掰头好过瘾！总体来说，翻拍片里，完成程度算很出色了。宽容点，啊~？！顺便，别信男主“看过1000部电影，世界上就没什么离奇的事”的理论。一个看过1000多部的过来人表示“算了吧，要智商的”。,0,陕西西安,公号：夏道道
纳兰风澈,https://www.douban.com/people/109277611/,还行,2019-12-21 06:54:34,中国特供出口转内销版《误杀瞒天记》，没印度原版拍的好真的！！！爱谭卓。。。,0,江苏南京,这世界。我……曾经来过！
我爱沙尘暴,https://www.douban.com/people/42295837/,推荐,2019-12-16 16:45:17,不错,0,四川成都,无签名
枝昂,https://www.douban.com/people/45061776/,推荐,2019-12-13 20:33:58,卧槽肖央演技可以啊让人意外！！！！,2,福建厦门,无签名
kokosweetie,https://www.douban.com/people/sweetiebaby/,推荐,2019-12-07 21:40:27,陈冲女士气场惊人，一段审讯戏看的我差点窒息了，要是拍中国版沉睡魔咒，这个黑巫女怕是要掰弯不少人。ps，肖央不搞笑的时候也很棒的啊，PPS，今日也是想生女儿的一天,1,湖南长沙,荼蘼不争春，寂寞开最晚。
影杂志,https://www.douban.com/people/100060194/,推荐,2019-12-21 21:15:32,犯罪都搬到国外了，可结局仍然没能躲过总局，非要来个认罪，显得蛋疼。哈哈，这部电影最大的价值就是，别得罪观影量超过1000的人。,1,浙江杭州,无签名
无止尘,https://www.douban.com/people/65550886/,推荐,2019-12-14 16:13:16,"陈思诚监制，唐探二外传（误）

导演很有迷影精神，各种致敬经典，“最喜欢什么电影？”“肖申克的救赎！”看笑了

两个家庭和阶层的斗智斗勇，剧情不意外，但全员演技加分

之所以说剧情不意外，除了因为“看过一千部电影，这世界上就没有什么离奇事”，更多还是因为审查制度的限制，八股文往里套就是了。完美犯罪？不存在的

证据链闭环设计得够巧妙，擦边球也打得相当准，既违法必究，又善恶有报，正面人物视角犯罪题材电影的作文模板",0,北京,告诉我一切都好
V.Dunham,https://www.douban.com/people/fuclie/,较差,2019-12-24 17:44:52,连家明都不会喜欢这么土的吧,2,Cyprus,没有学会沉默之前，我选择沉默。
Ston3s,https://www.douban.com/people/Ston3s/,还行,2019-12-14 17:53:01,国语的话~虾看的更好看🍻~没看过印度版没看过虾看的倒是可以看看~修改的部分没啥好说~,0,湖北武汉,cheers~
CeBerg,https://www.douban.com/people/C_C--321/,还行,2019-12-24 21:20:11,差点被陈冲阿姨吓哭了啦,0,北京,无签名
19431818,https://www.douban.com/people/luckystarisme/,推荐,2019-12-15 17:53:08,很精彩的一部电影，还看到了一闪而过的控方证人，看得出来导演也是个电影迷呐！就是结尾的突兀有些泄气，而且影片总给人一种刻意的感觉让人很难给五星，陈冲的表演我都担心小演员会不会有心理阴影，情节还是蛮抓人的，作为一部翻拍电影首先就有了良好的剧本基础，而导演的很多镜头特写和慢镜头都很能渲染气氛，作案手法虽然似曾相识但也算是拍出了自己的特点，总之是一部值回票价的电影,0,未知,←lucky star
洛木,https://www.douban.com/people/70161783/,还行,2019-12-15 12:39:46,原片叫《较量》，后来翻牌成《误杀瞒天记》，影响比较大，这版中国翻拍总体上还不错，就是看了《误杀瞒天记》后对于整个故事的走向都比较清楚，影响观感。更喜欢《瞒天记》，最后男主并未自首。而这版加入的自首颇有些审查的味道，当然也可以解释为男主信佛，所以自首。昨天看的《平原上的夏洛克》在片尾也出现“影片中所有涉嫌违法的皆已受到惩处”，总觉得有点黑色幽默，《心迷宫》也是……,0,四川成都,无签名
双月鲲鹏,https://www.douban.com/people/82776486/,推荐,2019-12-19 19:46:57,所有人都表现出一副用力过猛的演技，画面色调昏暗得令我感到奇怪，就翻拍来说，整体算是不错了（对国产抱着时而严苛时而宽容的心态）。就是没想到佛祖才是全场最佳，完美犯罪仍然要受到感化觉悟，必须自首走一波，犯罪分子绝对不能逍遥法外，强烈的和谐气息冉冉升起，在电影院也能感受到号召，可以说是无处不在了。,0,广东广州,一个有点自恋的神经文科男
暮雪微微,https://www.douban.com/people/54869727/,还行,2019-12-20 20:22:24,"演员是真的好，但电影看的着实难受，既然最后只能给我们这样的结局，还拍它做什么？徒给人添堵吗？
很惊喜看到边天扬和施名帅，但竟然饰演了两位人渣。",0,辽宁沈阳,晚来天欲雪，能饮一杯无？
大浸稽天,https://www.douban.com/people/2789355/,还行,2019-12-18 22:57:16,算是不错的商业电影，毕竟有原作的剧本加持，故事足够好看了，除去结尾明显的审查妥协痕迹，点只落在了男人对家庭的保护和责任，似乎也是非常落后的思想了。要男人放弃一切去保护家庭，谈何男女平等？结尾收得还不错,0,北京,无签名
𝐋𝐨𝐮𝐋𝐨𝐮🤎,https://www.douban.com/people/louis15yao/,推荐,2019-12-19 19:22:47,结局太符合主旋律预期了，虽然知道在我国也是一早料到的。一家四口姐姐演技最差惹。,0,Fiji,努力才能被爱慕
Sky,https://www.douban.com/people/79108534/,很差,2019-12-21 21:18:57,受害者说中国话，警察说中国话，竞选市长说中国话，路人说中国话，故事背景却要设置在泰国。本来是受害者，却要被搞成反派来审查，想办法蒙混过关，观众是应该支持你还是应该支持坏警察呢。花天酒地，利用职权敲诈普通市民的警察却以正义的角色来找出事实真相，警察局长为找出自己儿子可以动用全部警力，动作搞这么大。各种角色错位，根本拍不出以暴制暴的快感。结尾如果不自首还能成及格片，一自首让又掉两颗星，这种片子还是韩国人拍的爽快！,1,上海,无签名
Singin'in rain,https://www.douban.com/people/glorymanutd/,还行,2019-12-24 16:38:00,“当你看过1000部以上电影时，世界上就没有什么离奇的事了”，这句话真的太棒了，看过三千部的话更有这个感受。不错的改编，羊的意象使用非常出色。我打三星是因为实在受不了陈冲闺女的演技。。。。。影响了观看体验,0,"London, United Kingdom",舉目見日，不見長安
石墙,https://www.douban.com/people/shiqiang/,还行,2019-12-14 02:33:21,凶手设计的诡计和警方的破解方式都很一般，全片最可贵的地方恰好就是所谓的“蒙太奇”，若没有快速高效的剪辑，影片的观赏性必然会大大降低。而那个南亚的地域背景直接告诉观众，以后中国的现实主义题材必须被移植到“外国”，才有可能通过审查顺利上映。,1,未知,卡西莫多结婚
闲人,https://www.douban.com/people/5054748/,推荐,2019-12-14 00:24:46,改编的还成。,0,上海,不要急，但不能懒。
给你我最亲爱的,https://www.douban.com/people/Ken_Monster/,推荐,2019-12-22 00:56:27,看到一半我回忆起了“爷爷，奶油面包好好吃呀”，我严肃的观影被带跑了，2号去听经 然后住旅店 ，3号去餐厅然后看电影，哈哈哈哈哈。不过“当一个人观影1000以上，就不会相信世界上有离奇的事发生”还是有些真实的，不过1000的基数还是少了点，观影记录欢迎上豆瓣查询。种草了两部电影，印度原版和蒙太奇。四星鼓励。,0,江苏苏州,无签名
WilliamOsborne,https://www.douban.com/people/157548945/,还行,2019-12-24 18:34:18,本土化，这每次必吐槽的过审结尾，以及还要出续集？,0,天津,咸鱼影迷
说撒呢,https://www.douban.com/people/179935953/,较差,2019-12-15 17:27:50,烂，导演对悬疑的理解还停留在过度的低音音效，升格镜头，最后的迷影致敬毫无意义。太水了…最后还是得正能量结局。。迷之煽情，说好的谷开来和熙来的剧情呢。。糟蹋东西,2,上海,无签名
白rap的荧光帽,https://www.douban.com/people/larbi/,推荐,2019-12-24 21:47:05,好看，属于不能用三观来纠结的电影，肖央很赞！,0,广西南宁,无签名
季候风,https://www.douban.com/people/143604313/,力荐,2019-12-15 15:07:30,改编得非常棒！演员完美。特别是两位母亲对决那场戏，震撼。似乎比印度版更打动人。,2,未知,无签名
陈低调,https://www.douban.com/people/ckMac/,推荐,2019-12-16 19:55:07,自首了，挺没劲的！,0,浙江宁波,いつかは...
沉冰,https://www.douban.com/people/chenbing/,推荐,2019-12-25 21:18:51,孩子矛盾引发大人斗智，大人斗智背后是阶级矛盾，剧本太好以至于忽略导演的生涩。,0,北京,说不定我一生涓滴意念侥幸汇成河
Otomen,https://www.douban.com/people/toby0910/,还行,2019-12-15 15:04:23,论观影式犯罪，比起犯罪和亲情，还是那么一点社会政治意味比较值得玩味吧,0,浙江绍兴,一生温暖纯良，不舍爱与自由
laflor,https://www.douban.com/people/laflor/,立荐,2019-12-25 22:41:37,一开始还以为我买错票了，这不是口碑很好的那部新片，为什么开局这么平铺直叙，随着故事展开就好看了，最后男主自首也符合中国语境的政治正确，不苛求的情况下算是合格的院线商业片，老爸直呼好看，看来是有很广泛的年龄受众了。,0,上海,无签名
六月。喵,https://www.douban.com/people/jackie1984/,还行,2019-12-21 11:45:52,"基本拍摄手段和演技还不错,也有很违和的地方。",0,上海,"ever-changing, forevermore"
低首尘埃,https://www.douban.com/people/MademoiselleXie/,推荐,2019-12-19 01:25:19,★★★★☆ 普通观众友好型，故事比较紧凑，表演整体抓人，遗憾的是非原创故事，社会主义土壤的正确结局，狂收白眼，采访秦沛是顺便暧昧一把港警事件么，是个聪明导演。另，陈思诚的才子营销看得眼睛疼。,0,湖北武汉,那天上月亮，永不会随波流淌。
伊麗莎白,https://www.douban.com/people/lulusphinx/,推荐,2019-12-15 22:53:15,画面 演技 音乐都十分有张力！尤其是雨天的那段很精彩，观影感很棒，可惜结尾落入俗套。。而印度原版的结尾就震撼人心，可惜。,0,未知,无签名
biny,https://www.douban.com/people/Fangodar/,推荐,2019-12-13 15:41:19,致电影。,0,河北石家庄,不懂电影，看什么电影
Big猫不食鱼,https://www.douban.com/people/3022833/,推荐,2019-12-11 21:34:41,一部关于电影的电影,0,北京,无签名
Reaper,https://www.douban.com/people/dkjcdk/,力荐,2019-12-21 16:40:24,年度华语片最佳！抛开精巧的剧情设置，肖央和陈冲令人印象深刻的演技，以及并不显得肤浅的种种隐喻不说，仅仅是影片所呈现出的对电影深深的爱以及各种各样的并不违和的迷影梗，已足以令人深深动容。作为一个没有足够才华和勇气从事电影行业的人，误杀寄托了我对电影的爱。这是一部教科书般的成熟的商业电影。,0,未知,生活是这样子
孤獨江湖虛名,https://www.douban.com/people/72792251/,还行,2019-12-22 18:13:15,不知道要再过多久才能看到华语“真正的”以暴制暴的“爽片”，逐渐走向精致的华语悬疑片需要自己的风格，但这个风格不应该是强行煽情。同是母亲的角色，谭卓真的比陈冲好太多。,0,浙江杭州,无签名
rodge,https://www.douban.com/people/hellowind/,推荐,2019-12-14 17:27:46,这次翻拍很成功，我觉得比原版更贴近大众的观影感受，一些改动更合理。陈思成是痴迷于罪案悬疑电影了？,0,浙江杭州,无签名
永远的热泪盈眶,https://www.douban.com/people/Q686550/,推荐,2019-12-16 08:31:34,有人发现“肖央=小羊”么？纠结良久，给四星。如果删掉最后五分钟，我给五星。但陈思诚个渣男，又得给四星。过不过审的真是闹心的红线。代表弱群体的“小羊”扳倒了有权势的政治势利，肖央才是那个最大的boss，杀他儿不是最终目的，目的是让他一家人生不如死。,0,辽宁大连,无签名
降落伞,https://www.douban.com/people/Hepburng/,较差,2019-12-21 04:17:00,购买版权翻拍的好处就是不会有人说抄袭了。花点钱就花点钱吧，但是我还是觉得这是创作上走捷径赚快钱的“好方法”。如果原版的精髓都拍的差不多，那我觉得导演本身一般，如同伟大的愿望翻拍一样。我并不欣赏。,1,浙江嘉兴,无签名
菲利普,https://www.douban.com/people/jinfeixing/,推荐,2019-12-15 20:22:37,节奏不错，情节有点太简单，结尾差。与韩国同类片子相比，不知道差到哪里去了。另外，辱泰了！,0,北京,。。。
Scripting,https://www.douban.com/people/scripting/,还行,2019-12-16 16:23:58,完了！我豆瓣观影标记1600+，是肖央的整2倍！怎么办？！？！翻拍自2015《误杀瞒天记》。翻拍亮点在于主人公的迷影倾向处理，致敬了好多电影的经典桥段，也压缩了时长，原版160min的前40min是家庭肥皂剧，压缩到了两小时。似乎主题不定，囚车送行、妻女哭泣、主人公OS讲的父女隔阂、父替罪献身，而前面父女情感隔阂并没有多加体现，可见，一部戏，多个编剧参与，会在多个主题下跳跃。虚构“赛国”、自首的结局，谁来背锅呢？呼吁给予足够的创作自由。,1,北京,剧作
kiki204629,https://www.douban.com/people/kiki204629/,推荐,2019-12-10 18:25:51,近年来翻拍影视作品里比较成功的作品，依托扎实的剧本，一场扑朔迷离的杀人案，一对竭尽全力保护家人的夫妻，故事移植到某国也让后续故事的发展合情合理，个人感觉这版编剧对剧本的打磨比印度版更精炼，谭卓陈冲肖央都演技在线，尤其是肖央的表现令人刮目相看。凭借影迷的先天优势缜密的布局，太喜欢这个设定了，作为观影量达到7K+的我，油然而生的一种骄傲感。,2,新疆昌吉,『不管怎樣，還是微笑好嗎？』
大锅,https://www.douban.com/people/gold401/,推荐,2019-12-24 14:39:06,剧情节奏把握得很精准，毫不拖泥带水，值得一看。,0,江苏南京,多则惑，少则得。
活在梦中的稀饭,https://www.douban.com/people/WSZYJ/,力荐,2019-12-14 23:09:59,陈冲真是太棒了......,0,四川成都,想在梦里一觉不醒
刘在石的妈妈粉,https://www.douban.com/people/150543635/,还行,2019-12-13 13:35:22,"必须得在开头先说一句：《蒙太奇》招你惹你了？我非常崇拜佩服的悬疑推理电影被你毫无必要地一句话泄底，心疼……
我清楚相比起之前悬疑类的国产翻拍，这次做得是不错——但也只是相对而言。从1到2简单，从0到1难，虽然我认为是五星杰作的《误杀瞒天记》同样翻拍自印度的《较量》，但人家是在原基础上加以完善升华且不出纰漏，质量大幅提升，而《误杀》仅再加强了节奏，以及谭卓与陈冲的冲突张力，却同时受到了诸多局限导致问题不断。
①在案情发展与国土特色的联系上，便输在了起跑线。一堆中国人在名为“赛国”的泰国土地上，个中含义不言自明，这个矛盾很违和；
②关于结局，原本被我嗤之以鼻，后来我为它加多一星。我在补充的长评里有详细解释↓；
③秦沛模仿《杀人回忆》宋康昊的镜头就是东施效颦的迷影私货，没意义。",6,广东广州,我是小卢，是颜色不一样的烟火。
两生花,https://www.douban.com/people/yasujiro/,推荐,2019-12-17 18:00:15,感觉导演会是第二个陈思诚，虽然总觉得透着股鸡贼劲儿，但是不得不承认，完成度确实挺高的，尤其对比印度版，感觉节奏更佳，煽动性更强，把原版的很多问题进行了完善，尤其是抓准了大众的情绪宣泄口，虽然换了层皮，但是依旧有效。,0,北京,拼爹拼不过你，我就跟你爹拼了。
婴儿葛葛,https://www.douban.com/people/romanbaby/,推荐,2019-12-14 16:22:40,2.0时代的国产商业片。单靠类型满足的国产片很难突围了，情绪+类型双管旗下，是国产片进化的新课题。学习社会学和心理学太重要了。,0,北京,无签名
whrong,https://www.douban.com/people/35094883/,推荐,2019-12-15 20:32:43,除了妈妈和大女儿的演技不对，其余地方都不错，小女儿的演技全场最佳,0,未知,无签名
VV,https://www.douban.com/people/haojvv/,还行,2019-12-14 17:17:56,大结局减一星，瞬间让整部电影变得毫无意义,1,山东青岛,无签名
牛奶很忙,https://www.douban.com/people/boringq/,还行,2019-12-13 18:42:09,太逗了，肖大宝说 只要看过1000部以上的电影，你就会发现这个世界上根本没有离奇的事情 的时候实在笑出猪叫,0,山东青岛,天公作美，总许我半途而吠
一口吃掉小蛋糕,https://www.douban.com/people/cheesecakehouse/,立荐,2019-12-04 21:00:33,雨中的戏，非常杀人回忆。结尾太“过审”，有点儿压抑，不如原作畅快。TVB公鸡碗乱入，好奇不方便透露的埋尸地。肖央很像奉俊昊的男主角，谭卓保持药神水准，陈冲为什么还是那么美！！！,0,北京,剪了头发轻两斤啊喂！
开了一朵花,https://www.douban.com/people/fyxx101/,力荐,2019-12-20 22:26:07,我差点以为是豆瓣电影联合出品…很爽，但结尾还不够爽。,0,福建厦门,给我一片星空，让我虔诚将你仰望
明年今日,https://www.douban.com/people/1387854/,推荐,2019-12-16 00:16:44,还不错，爸妈都很喜欢。虽然结尾惨遭和谐，但也算能说得过去。,0,江苏南京,2019加油
爱民,https://www.douban.com/people/iamin-yu/,立荐,2019-12-21 23:51:34,节奏挺好的，但男主角的诡计真能做到吗，一口气误导这么多人几乎不可能吧。不知道被翻拍的那两部是怎么呈现的。以海外华裔为背景，但不交代来历，体现了当下的大国自信、文化自信，是本片意外亮点。我们能以普通话叙述世界上发生的故事了。,0,北京,我一点都不炫酷
Llllll__,https://www.douban.com/people/let-it-be89/,推荐,2019-12-23 02:19:33,看肖央的脸容易穿越到唐探系列 搞笑脸演活了本片小人物 故事其实不难 就是一场误杀 其实本该来说是过失伤人 陈冲演技确实稳 但是这部片子感觉有点用力过猛 另外说一下如果大女儿的选角能更贴合点 可能效果会更好 总体来说是一部不错的翻拍片 尤其是一些慢镜头一镜到底 确实节奏感画面感很棒 另外泰国的当局应该感觉压力吧 又被cue了,0,"Los Angeles, United States",If I could melt your heart
修万年,https://www.douban.com/people/29170072/,推荐,2019-12-17 10:47:52,今年翻拍最佳，本土化甚至弥补了阿三版拖沓的毛病让剧情更加紧凑；演员全部演技在线，值得观看。,0,未知,无签名
HanNah,https://www.douban.com/people/40641378/,还行,2019-12-21 21:03:39,这么多口音真的太出戏了！而且bug也太多了！陈冲演的也over 肖老师还行吧,0,浙江金华,无签名
茶糖,https://www.douban.com/people/mushroro/,推荐,2019-12-18 20:15:04,二号去听经晚上住旅店三号去餐厅然后看电影！前面很完美，结局emmm…,0,未知,Tchin-tchin.
暖,https://www.douban.com/people/m19900714/,还行,2019-12-13 13:12:53,6分吧，在原剧作的标准下算完成任务。肖央演得是真不错，至于其他女性角色嘛…………,0,北京,比昙花短，比爱情长
Whysu,https://www.douban.com/people/suh5213/,较差,2019-12-18 23:44:19,本来感觉还不错，结束以后跟朋友讨论发现全是槽点。大段的慢镜头和铺满的配乐太容易出戏了，真的难看又难听。女演员们全面崩溃，陈冲被拍成哥斯拉也不知道该夸还是该骂。肖央一个人撑起来所有戏份的同时又有点脸谱化，这种复杂的好人被诠释过无数次了也不出彩。警局湾湾二人组倒是眼前一亮，就是缺一个吴慷仁。优点嘛，故事挺好的？这种好也不是原创，真遗憾。姜皓文也很遗憾，过于花瓶了。,0,浙江杭州,冬夜漫漫好好读书。
今生、唯爱,https://www.douban.com/people/72520254/,较差,2019-12-20 22:56:37,查一年的观影记录，我差点以为这是喜剧片呢，即使没有看过原版，也知道误杀中的结局肯定是自作主张添加的，直接由四星可以掉到两星,0,浙江丽水,落葉ぃOnly love
堇灿,https://www.douban.com/people/youyuanjingmeng/,较差,2019-12-11 23:29:25,我可以有不喜欢的权利吧？配乐和演技都非常糟糕，昏黄的咖喱色调透着死气沉沉，故事鸡贼地安排在泰国，所有的演员都在费力地表演，故事也没有打动我的亮点，平庸之作。,6,北京,尽信书
一棵松,https://www.douban.com/people/hzsxd1986/,推荐,2019-12-16 23:33:05,给我查他近一年的观影记录！为了掩盖一个谎言，得撒更多的谎言。陈冲、小女孩、痞帅警察演技在线。阶层差距是很现实的，不要期待夏令营能改变命运。偷拍女生的人挂了。跟真在电影院看的。三星半,0,福建厦门,相与枕藉乎舟中不知东方之既白
媛熙,https://www.douban.com/people/12345197/,推荐,2019-12-21 00:17:52,"作为国内翻拍 真的很精彩了！对于国内观影大环境下，照顾到了绝大多数的观众，所以最后的结局还是预料到了！因为对于评判是非观来说，国内观众成熟度还有待提高！ 

原版里的爸爸的电影单子里一定有《嫌疑人X的献身》 ，看完《误杀》回过头来看，两部各有优缺点。翻拍节奏更紧凑，原版的男孩父母没有让人觉得那么可恶，最后萌生的是对他们的怜悯和可怜。翻拍中父亲的形象和爱更触动，而男孩的父母让我想到港片《新警察故事》里吴彦祖饰演的那群二世祖，真的让人恨得牙痒痒！如果翻拍的结局是原版，相信更多人会更痛快和欢喜。但翻版的结局父亲的选择也着实让大家感受到了父爱！这样的意义也未尝不可！",0,中国澳门,Cherish
某妮,https://www.douban.com/people/deartintin/,还行,2019-12-14 19:36:51,去掉那些生硬的隐喻更好吧，羊啊，忏悔钟啊，佛陀布施啊，当然悬疑罪案这方面也没有很出彩，其实只能轻描官逼民反的话，只能淡写正义邪恶的话，只能让主角道歉入狱的话，真的没什么翻拍的必要。｜电审故字2019年第700号,0,浙江杭州,Finding Nemo <・)))><<
yoyonevercry,https://www.douban.com/people/yoyonevercry/,推荐,2019-12-17 23:03:54,年均观影量不足八百部，就别想着犯罪，老老实实做个社畜。,0,北京,追番中
没有耳朵的兔Z,https://www.douban.com/people/3516023/,推荐,2019-12-14 22:10:44,7.5,0,湖北武汉,我们都是净化自己的超人
荒淫少女朴赞郁,https://www.douban.com/people/bushuai1/,还行,2019-12-10 20:18:00,导演实力有目共睹，值得一看,1,北京,都挺好，都不错
八月槎,https://www.douban.com/people/quills/,推荐,2019-12-14 16:34:00,可以，导演演员都好，镜头好，故事改得也好。,0,福建厦门,厚德载物，五行缺钱。
声色画报,https://www.douban.com/people/24274750/,还行,2019-12-13 21:56:42,差点火候，看到陈思诚就反感。不是说看过一千部电影就能拍好电影的。除了陈冲，其他演员们都是在应付剧本。,0,江苏常州,JUST DO IT
你扛着我先撤,https://www.douban.com/people/61847439/,推荐,2019-12-10 20:47:19,杀破狼，唐人街探案，误杀。我们电影事业的发展需要泰国警察的巨大牺牲，,2,浙江绍兴,无签名
¡Leche!,https://www.douban.com/people/uponnnn/,力荐,2019-12-23 22:28:12,我觉得虽然很稚气但是有致敬有细节有包袱，真的值得鼓励！8.5,1,未知,无签名
大包多了两笼,https://www.douban.com/people/149068545/,还行,2019-12-15 17:23:49,3.5 结尾气死我了,1,"Cleveland, United States",无签名
对你爱不完,https://www.douban.com/people/140638723/,还行,2019-12-10 23:03:02,什么时候我们能自己写出来这样的剧本才是真正值得称赞的时候。,2,河北邯郸,无签名
言之命至,https://www.douban.com/people/61389070/,还行,2019-12-23 22:30:49,可以明显感受到影片于视听方面已经在竭力塑造紧张氛围以及案件过程，大部分演员也都全程演技在线，最后那句“我能做的，只有挡在你们前面”也十分感人，可以说是质量上乘的翻拍之作。然而影片似乎总体上就是差那么一口气，精彩程度并不及预期。,1,山西临汾,人生天地忽如远行。
蓝田,https://www.douban.com/people/59215037/,推荐,2019-12-22 22:06:50,含义很多，除了暴政外，全片最大的恶在于，没有一个人，当面对平平说一声对不起，她才是最无辜的人。,0,浙江宁波,隔窗云雾生衣上，卷幔山泉入镜中
～,https://www.douban.com/people/52148038/,推荐,2019-12-13 20:47:27,主题与剧情皆可打四星，陈冲演技层次丰富，戏骨级别，与谭卓对视同飙演技，看得十分过瘾！另，谭卓经常演苦情中年母亲，素面朝天，但是其实很漂亮，打扮一下就很惊艳，她让我总是想到浮城谜事中的郝蕾，长相和气质都有点相似，只是郝蕾更有种漫不经心的文艺感。最后想吐槽一下多余的社会主义核心价值观结局，恐怕只是为了过审吧🙂,1,江苏南京,life is solo
_王帅傅,https://www.douban.com/people/4453050/,力荐,2019-12-14 21:58:32,电影很好，但我更想知道张艺兴工作室看过之后的声明，毕竟有点嘲羊。,1,北京,普天下啊。。。
Mr沛看電影,https://www.douban.com/people/yangpei777/,推荐,2019-12-13 21:49:38,整体不错，节奏比较流畅。强化场景和表演，弱化剧情和推理，轻悬疑，最后的情感升华也没上去，三星半。,0,北京,无签名
踢一脚苹果酱,https://www.douban.com/people/115552732/,很差,2019-12-14 03:41:07,这电影只能用来证明陈思诚的无能和自恋。另外就不要在这部里尬吹谭卓和陈冲的演技了，好演技得靠导演能力和作品质量撑起来。,4,"Kanagawa, Japan",无签名
皎然™@在路上,https://www.douban.com/people/jiaoran/,还行,2019-12-23 13:05:13,本来近来是很排斥推理悬疑的，不过小女儿的眼睛真的好大,0,江苏南京,专注于电影音乐的盘点与分享
胖官赵,https://www.douban.com/people/122454843/,较差,2019-12-13 12:23:49,一家人完全不像一家人，假的要死，根本融入不到这个故事中。影迷这个梗到底是在羞辱谁？,212,北京,无签名
Janie,https://www.douban.com/people/55300712/,还行,2019-12-09 22:14:50,個人覺得到懺悔塔那裡結束就差不多了，後面強行升華的結局毀了所有,255,广东深圳,以中有足樂者
把噗,https://www.douban.com/people/babulliu/,推荐,2019-12-10 22:01:25,不错。拍得挺精致，屁民通过电影的知识赢得了胜利，既是现实也是隐喻：观影成为我们这个时代最重要的自我教育手段。说点有趣的，这部电影是不是证明了观影量的重要性，并且在不远的将来，豆瓣有望成为破案数据库？,379,北京,Festina Lente
内陆飞鱼,https://www.douban.com/people/veverlee/,推荐,2019-12-12 09:16:00,喂，肥宅，你看那么多电影有用吗？万一有用呢，难说就是一招制敌的杀手锏了。,326,云南昆明,因雨成歌
大奇特(Grinch),https://www.douban.com/people/grinch/,还行,2019-12-06 21:36:33,《误杀瞒天记》（同样翻拍自《较量》）的基础在那儿，首先解决了原作前40分钟啰哩啰嗦的问题，整体节奏加快。除了外景搬到泰国以求安全，影像风格也很泰式。误杀段落与跆拳比赛的平行剪辑用的也好，这些都是优点。美中不足的是肖央刚出场时总带股喜剧味，警察搬“观影记录”查案也很儿戏（“豆瓣看过”将成为最有效的证据），总给人一种想往喜剧上走的错觉，结尾的“安全牌”大家都懂。,133,北京,肚脐缝顾肠胃
